Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.3868928,0.01568358,41.887955,4.1887956,517.1742,197.2904,-1320.9934,1316.8706,330.42072,1663.1273,-51.00163,1325.3643,324.02493,1674.4336,76.694916,1.0175238,3.3927798,17.369545,-7.21559,0.0107357185,0.67919546,3.1589422,-3.6395855,-1.0674471,0.32984444,-0.086302936,-2.7852259,0.26856822,0.00675624,726.5526063664961,842.9757764703769,848.7997115545973,640000,871363,0,274.97988559999794,18.677963699999964,7.30615289999696,300.96400219999487,48387.48627009998,159
0.28061944,0.014687188,39.62095,3.962095,601.6704,155.29037,-1316.1937,1308.9581,327.2726,1652.7653,-61.780235,1314.033,320.24326,1642.8751,58.79541,0.7100258,3.129459,17.171778,-7.330755,-0.01587641,0.6629729,3.8979843,-2.8361008,-1.0434595,0.30644786,-0.17034489,-3.1140382,0.37352628,0.0069120377,898.171774762231,858.1341555215135,845.3185887441492,644000,876707,0,276.1084791999965,20.247824999998556,7.436486999999033,303.7927911999941,48690.070202999996,160
0.2793312,0.015346694,39.284187,3.9284189,653.9422,234.29669,-1325.23,1325.2367,304.19974,1639.9506,-77.486565,1328.9238,295.383,1612.3755,81.41118,1.029568,3.4450233,20.800236,-6.920365,-0.019538864,0.6646346,3.4596765,-3.611262,-1.0829132,0.32034314,0.0569638,-3.397219,0.24675004,0.006593615,923.6011120042422,891.386992943254,855.5144305314334,648000,881767,0,276.79051730000356,19.039556900002935,7.005438599982881,302.8355127999894,48992.97997969999,161
0.24851224,0.015332701,37.414288,3.7414289,752.9382,201.46672,-1294.2765,1293.8207,318.8169,1660.627,59.40824,1299.7239,316.3442,1670.144,51.604748,0.786217,3.2457278,19.851934,-9.455062,-0.0453882,0.6510014,2.9719224,-3.3764338,-1.0458188,0.30587447,-0.1271987,-2.6818104,0.41067284,0.008762553,848.5144233865185,854.4062408289188,812.6193030296013,652000,886776,0,276.5055283999973,19.112912200005667,7.0165864000082365,302.6350270000112,49294.8132719,162
0.13203228,0.020116268,33.597446,3.3597448,1012.9562,288.3256,-1270.0438,1263.1417,296.82422,1637.1274,-114.81615,1268.6736,292.12552,1632.9333,61.043575,0.8078803,3.330535,27.244165,-8.021878,-0.040929396,0.66236895,3.12518,-3.4217844,-1.0559614,0.3072408,0.05840665,-3.0525184,0.33157864,0.0075191758,849.8899721061543,815.5403908995914,888.1027929127042,656000,891829,0,277.11994660000346,18.311719799996354,7.4664116999847465,302.89807809998456,49599.085564599976,163
0.28147584,0.018387321,36.175518,3.6175518,672.97,163.83882,-1287.9448,1282.0492,319.71115,1650.3275,25.63235,1284.6621,314.9335,1644.8807,99.88651,0.8482959,3.1740034,21.776981,-7.7020936,-0.0035412787,0.6651568,2.7100883,-2.808546,-1.0449805,0.31619602,-0.04344833,-3.580121,0.33205152,0.0072887978,698.8901414708478,847.3919369070712,887.9263987333997,660000,897317,0,277.12718949999544,19.686036500002956,9.322121600001992,306.1353476000004,49904.50975029999,164
0.3932011,0.018249322,40.876682,4.0876684,693.77045,280.4733,-1351.9767,1345.24,315.96326,1665.2672,72.92953,1345.8088,309.4421,1671.3099,96.056274,0.9167284,3.2971153,22.888004,-11.571915,-0.0051735137,0.65595305,5.4922023,-5.0939326,-1.0614029,0.31854978,-0.022167921,-2.9749277,0.043736797,0.00681841,888.8538166189624,853.3801064673639,780.6924195788979,664000,902687,0,276.90188299999863,18.974850700004026,7.759718299996166,303.6364519999988,50208.63127919999,165
0.28228563,0.014013989,38.282917,3.8282917,1058.6653,307.17038,-1265.7075,1261.8533,337.99014,1670.2368,44.585545,1271.3041,335.1249,1663.3009,65.24252,0.87220967,3.4579368,22.687696,-11.103167,-0.011410443,0.65699184,2.7498226,-3.6459615,-1.068786,0.33293304,0.1558156,-3.028861,0.3952609,0.00609563,922.7847611132997,882.8642835243188,855.277411351771,668000,907687,0,276.48362660000566,19.460700200004794,6.817913399987447,302.7622401999979,50511.448608499995,166
0.3147977,0.016804354,39.796764,3.9796765,603.46594,192.24643,-1299.6022,1297.0984,322.87585,1618.5297,98.60989,1293.5166,317.89706,1597.278,84.62537,0.93203855,3.4948647,27.632614,-9.289625,0.007508938,0.66069955,3.2316062,-3.254631,-1.0672951,0.32520437,-0.07974088,-3.263829,0.4071055,0.0060653016,814.5043016308396,837.323573037095,881.8823434302822,672000,912885,0,277.42746949999855,19.51565549999941,8.020902299991576,304.96402729998954,50816.47914129997,167
0.38930377,0.016266149,42.681538,4.2681537,547.9618,189.92848,-1316.4862,1312.3608,363.369,1663.0131,-17.213104,1316.6792,358.38913,1640.9749,59.53915,0.82159185,3.380671,29.532408,-7.550373,-0.031019196,0.6770972,4.491222,-3.2199411,-1.0384724,0.315068,-0.09831351,-3.0402727,0.37439662,0.004623418,881.636956197161,877.2335161859544,886.4922621227558,676000,918295,0,276.7553964000035,19.582563799995114,7.403181800000311,303.74114199999894,51119.887384899965,168
0.27633673,0.01732653,36.767136,3.6767137,613.2054,199.34203,-1345.3912,1338.0199,334.0379,1667.5935,0.47269666,1345.9957,327.83752,1665.6738,82.427704,1.1189432,3.2815242,22.153168,-8.841749,-0.044320427,0.66234004,3.2780967,-2.9357212,-1.0818259,0.3314388,0.098781526,-3.386449,0.42486125,0.004472116,860.3698072359608,915.9687026551894,879.5703190913819,680000,923295,0,275.57646920000116,19.249835700000403,7.087538699990546,301.9138435999921,51422.26020479996,169
0.27828172,0.015318848,41.215633,4.1215634,552.5395,165.01303,-1338.2112,1333.7793,321.86417,1680.3876,27.278467,1336.3124,320.4016,1678.8071,19.146809,1.1510353,3.486361,26.81717,-12.064491,-0.012889818,0.68774676,3.679116,-4.512672,-1.0810256,0.31993824,-0.11269355,-3.0357933,0.3945747,0.0065732105,877.2180113109359,880.3690463647301,886.8906210799807,684000,928630,0,274.30538230000093,19.70965659999638,7.578996399999596,301.5940352999969,51722.92923949995,170
0.3795607,0.015664758,39.233807,3.9233806,712.5077,239.81848,-1358.9716,1353.2917,351.12473,1698.7673,-100.21261,1359.2397,343.23187,1702.7883,102.674614,0.8161044,3.3960402,30.1422,-7.812102,0.0022264272,0.64795816,2.6290047,-3.517259,-1.0714165,0.33033353,-0.08283019,-2.9730303,0.31505814,0.006437263,799.5676645458657,933.4581659916325,888.3653478350309,688000,933805,0,276.7136817000064,18.78469550000591,7.552697000006447,303.0510742000188,52027.88367059997,171
0.27614933,0.014138391,38.771343,3.8771343,680.6076,369.5353,-1371.1744,1367.262,326.0208,1693.2533,-91.94055,1377.0222,323.0074,1666.3882,60.63188,0.8347856,3.2888963,25.869192,-7.8694725,-0.029726464,0.65393573,4.8185616,-3.7008963,-1.0652856,0.31202462,-0.039706767,-2.806075,0.20922288,0.0060299067,917.2694856556637,847.5709853675783,865.656245802466,692000,938902,0,276.32211700000335,20.701486699996167,7.242166699994414,304.2657703999939,52330.51020509996,172
0.2817716,0.018751495,38.087234,3.8087234,585.8248,183.51407,-1378.5299,1373.7832,292.08377,1679.8209,-65.59019,1377.6962,278.6693,1676.8224,73.419685,0.8544016,3.3272595,22.436966,-12.126131,-0.035267282,0.668682,3.0476723,-3.0510373,-1.057051,0.30212635,0.3496303,-3.1573105,0.11170851,0.007248834,714.7207169626145,861.8614375381519,893.6120029374042,696000,944048,0,276.60559040000226,19.063481999997748,7.298847599988221,302.9679199999882,52632.64475189995,173
0.29662845,0.019567763,32.82457,3.282457,817.5927,267.65356,-1386.1998,1381.1829,331.0711,1732.0281,-9.377464,1387.8069,327.8277,1710.9059,86.91783,0.7753902,3.256272,21.297987,-9.347219,-0.026595728,0.68231696,3.4005542,-4.0376205,-1.0315189,0.30716184,0.091371596,-2.7682805,0.45503983,0.007445825,797.1411936325426,875.5679805768639,921.1440474213744,700000,949048,0,276.0702366999976,18.22328959999868,7.109718399988196,301.4032446999845,52934.18342229993,174
0.34140974,0.019704822,38.402245,3.8402245,953.1749,159.88446,-1383.2654,1373.7345,318.1804,1668.3698,-101.94911,1378.6931,309.81564,1657.953,91.700966,1.0543368,3.3172646,18.948652,-10.678987,-0.0123870075,0.67173123,3.4933288,-3.1530564,-1.0799801,0.3076796,0.035973072,-3.0350664,0.25188774,0.0050697904,864.5257839156313,924.0101854379316,911.4762875261343,704000,954256,0,276.16110130000015,18.35189829999581,7.572791700004018,302.0857913,53237.740044799946,175
0.24376301,0.013730693,38.92041,3.892041,631.5532,286.50836,-1375.3945,1369.7085,335.32025,1712.9708,-135.3956,1367.5725,326.46542,1710.1458,31.968372,0.9678813,3.2932205,27.717175,-7.711106,-0.028367195,0.67031115,2.9624557,-3.1129775,-1.065844,0.32063922,-0.10942131,-3.1592383,0.3553216,0.006879762,867.5923228144767,908.6601390350638,834.9569460161205,708000,959293,0,276.03340229999594,19.822911700000986,7.346968600002583,303.2032825999995,53539.74122679994,176
0.37791798,0.01617231,36.197205,3.6197205,866.5919,177.91791,-1330.5903,1324.7539,309.7546,1694.0383,56.19156,1329.7396,304.73074,1677.685,62.44434,0.83158284,3.274421,18.78767,-8.284986,-0.03714325,0.66780525,3.5366807,-2.8755503,-1.0497278,0.31918505,-0.057328045,-3.0016847,0.37533802,0.0050964653,947.1513973126293,937.2104132416157,949.8972780866743,712000,964369,0,275.4819630999991,18.620549400002346,6.9851883000083035,301.08770080000977,53840.99962899995,177
0.40248886,0.011506314,43.164646,4.316465,633.5036,158.21732,-1363.0933,1354.0829,340.63788,1678.0868,-51.73274,1361.8032,335.9591,1677.0244,87.15903,0.83983105,3.33843,31.670551,-8.009445,-0.060691502,0.6643527,3.845034,-4.656557,-1.0578978,0.31761688,0.05271727,-2.8269367,0.38693407,0.004595992,894.0329955491179,723.5726506487385,901.7337402253444,716000,969640,0,276.8804528999972,18.80548219999764,7.357212200004142,303.04314729999896,54144.50871159994,178
0.2736401,0.015177335,39.940594,3.9940593,614.0056,210.44669,-1403.6633,1400.3239,325.01523,1714.5848,-2.4509556,1403.892,320.66486,1711.2136,-4.7701597,0.9884576,3.3825827,21.750206,-9.635544,-0.041264653,0.66623557,2.9506712,-3.199987,-1.0758708,0.33140823,-0.050969005,-3.2584105,0.4315227,0.00621064,860.9496333844363,804.2171959773523,858.4924447572247,720000,974975,0,276.6211322999952,19.257552099996246,7.5566851000112365,303.4353695000027,54447.02693249993,179
