Epoch Time (s),Policy mu Max,Policy log std Min,Total Train Time (s),Log Pis Std,V Predictions Std,(Previous) Eval Time (s),Train Time (s),Z variance train,V Predictions Mean,QF Loss,R Predictions Mean,Log Pis Max,Number of train steps total,R Predictions Min,RF Loss,Policy Loss,VF Loss,Z mean eval,V Predictions Max,Policy log std Max,Z mean train,Log Pis Min,Number of env steps total,Q Predictions Max,Policy log std Std,Policy mu Mean,AverageReturn_all_train_tasks,Z variance eval,R Predictions Std,Q Predictions Mean,Q Predictions Min,R Predictions Max,Q Predictions Std,Sample Time (s),V Predictions Min,Policy mu Min,KL Divergence,KL Loss,Epoch,Log Pis Mean,AverageReturn_all_test_tasks,Number of rollouts total,Policy mu Std,Policy log std Mean
162.08846169800017,2.69202,-2.29289,22055.28219171388,2.72237,167.761,4.122213847000239,152.0323989440003,0.192233,726.669,264.164,0.00311332,16.0222,544000,-0.00126125,31.9149,-729.056,66.2996,0.386619,969.52,-0.257982,0.465317,-8.49608,548000,976.785,0.235666,-0.0141008,541.249782697,0.12231,0.00175853,722.541,33.8136,0.0106037,172.944,5.9338489069996285,191.672,-2.424,20.477277755737305,2.0477278232574463,135,-0.838023,558.500123749,3754,0.520408,-0.923652
162.93540669800495,2.78535,-2.41131,22217.891871698892,2.92637,181.419,4.572293495002668,152.15313280899863,0.123713,717.071,331.151,0.00286063,18.3083,548000,-0.00219577,30.213,-717.667,93.1651,0.455258,977.49,-0.249765,0.465592,-8.97242,552000,987.542,0.254244,-0.0240302,604.770443315,0.109007,0.00169268,712.898,21.7367,0.00774176,184.303,6.209980394003651,203.671,-2.84876,22.845252990722656,2.2845253944396973,136,-1.00492,492.381629522,3781,0.506121,-0.940668
162.72082525699443,2.89985,-2.38406,22380.561584814877,2.8694,180.656,4.2477112540000235,152.218167559,0.118075,769.094,254.781,0.00290685,15.8841,552000,-0.00132905,56.2547,-769.349,100.188,0.4466,974.083,-0.262398,0.441359,-10.105,556000,974.921,0.257471,-0.0631286,634.289231062,0.126923,0.0017109,763.346,-4.40802,0.00838737,184.577,6.254946443994413,88.5546,-2.62713,27.772159576416016,2.7772159576416016,137,-0.696674,554.742162841,3806,0.547864,-0.941511
162.1973432530067,2.97419,-2.71208,22542.876791913877,3.06612,181.042,4.197962591999385,151.80284291799762,0.129592,730.093,265.087,0.00324922,18.9194,556000,-0.0027431,47.5494,-727.901,85.8341,0.410816,987.731,-0.235549,0.449589,-9.87737,560000,990.805,0.267768,0.0113838,432.688264411,0.111667,0.00198671,720.376,-30.7848,0.00882624,185.847,6.196537743009685,18.8273,-4.04346,29.54471778869629,2.9544718265533447,138,-0.783507,542.584956698,3834,0.539783,-0.927118
163.32692159499493,2.32668,-2.81429,22706.046423237876,2.8905,182.531,4.317512159999751,152.71327112200015,0.118285,761.232,242.742,0.00303716,20.454,560000,-0.00213722,74.6331,-766.585,103.377,0.465256,983.956,-0.242365,0.516934,-8.7874,564000,989.623,0.262111,0.0114432,602.166690432,0.179459,0.00188517,760.348,-32.5503,0.00946405,186.125,6.296138312995026,185.262,-3.08418,30.243833541870117,3.024383306503296,139,-0.778128,617.340365242,3859,0.541993,-0.934885
163.29604341299273,2.65302,-2.53536,22869.529763113864,2.76307,176.826,4.161329514998215,153.01817256600043,0.146584,768.279,473.712,0.00228355,21.808,564000,-0.00126938,21.9345,-770.762,93.3227,0.457639,991.689,-0.234725,0.455071,-11.4808,568000,995.985,0.242941,-0.0555871,585.761007044,0.165553,0.00151263,764.323,-58.9579,0.00803646,180.483,6.116541331994085,79.5042,-2.54398,22.389965057373047,2.2389965057373047,140,-0.860592,572.175734829,3883,0.504437,-0.947798
162.44412003599427,2.20799,-2.66156,23031.966602350865,2.58014,178.906,4.350172260001273,151.99561151200032,0.146389,767.816,218.959,0.00315948,12.0885,568000,-0.00119401,24.5828,-766.115,69.7155,0.455083,978.974,-0.242163,0.458627,-8.59166,572000,991.847,0.257211,0.011728,633.713633365,0.129812,0.00173315,760.835,204.759,0.00796291,179.938,6.098336263992678,219.052,-2.0544,28.1328067779541,2.8132808208465576,141,-0.863147,595.034517784,3907,0.522363,-0.930037
162.84277693499826,2.56218,-2.26132,23194.88043758086,2.73601,194.469,4.344834510997316,152.28288047499882,0.143468,774.661,246.247,0.00298842,18.6942,572000,-0.0027135,33.7903,-773.704,87.269,0.447413,1006.26,-0.213192,0.483404,-8.14902,576000,1007.73,0.255509,-0.019496,627.840858991,0.105555,0.00188711,768.027,70.2581,0.00879431,195.9,6.21506194900212,188.047,-2.36818,29.205638885498047,2.9205639362335205,142,-0.913665,529.744363715,3933,0.527801,-0.916856
162.02057554299608,1.96513,-2.47476,23357.049425740868,2.98942,189.774,4.416694621999341,151.44119894400137,0.178532,779.85,249.257,0.0028609,19.4907,576000,-0.000994152,53.3646,-783.055,156.705,0.370716,996.36,-0.211869,0.489616,-11.2231,580000,995.063,0.264499,-0.0554745,663.200442122,0.17556,0.00170361,777.951,23.1514,0.00935631,192.05,6.162681976995373,176.69,-2.59759,26.012605667114258,2.6012606620788574,143,-0.690071,565.712639619,3958,0.545982,-0.93099
162.98343793999447,3.1549,-2.44603,23519.763839701856,2.83264,188.915,4.566491487003077,152.25074260899783,0.140746,796.24,214.142,0.00276742,20.5905,580000,-0.000558554,24.1615,-792.851,101.753,0.445721,999.006,-0.279738,0.435732,-7.70319,584000,998.108,0.253274,-0.0290069,658.942452504,0.10923,0.00160157,787.573,133.086,0.00839988,189.393,6.166203843993571,144.058,-3.08944,24.082763671875,2.408276319503784,144,-0.76041,616.14160532,3982,0.535143,-0.928735
