RF Loss,Z mean train,V Predictions Max,R Predictions Min,Z variance eval,KL Divergence,QF Loss,Policy mu Min,KL Loss,R Predictions Std,Q Predictions Max,Policy log std Std,V Predictions Mean,AverageReturn_all_train_tasks,Policy log std Max,Number of env steps total,V Predictions Min,Log Pis Max,R Predictions Mean,Sample Time (s),Z variance train,Number of rollouts total,Z mean eval,Policy mu Max,(Previous) Eval Time (s),R Predictions Max,Log Pis Mean,Policy log std Mean,Epoch,Epoch Time (s),Policy mu Std,Number of train steps total,Policy Loss,Log Pis Std,VF Loss,Q Predictions Min,Policy log std Min,Total Train Time (s),Log Pis Min,Train Time (s),AverageReturn_all_test_tasks,Policy mu Mean,Q Predictions Std,Q Predictions Mean,V Predictions Std
77.2906,1.41901,1390.56,-0.00297253,0.0378961,41.75260543823242,487.904,-2.64143,4.175260543823242,0.00210685,1390.6,0.188206,942.856,828.424678217,-0.0689081,214000,-495.254,11.1636,0.00280278,10.461992480999925,0.13595,1280,2.30188,2.52406,4.048277101999929,0.00911327,0.873044,-0.547025,20,89.64208524399987,1.02116,42000,-939.667,3.00485,169.633,-522.343,-1.45557,1871.9597248350003,-7.61946,75.13181566100002,787.319846979,-0.0980067,290.08,931.697,286.782
91.6043,2.25943,1062.94,-0.00298124,0.0598548,38.9483528137207,1175.77,-2.4757,3.8948352336883545,0.00210677,1061.37,0.21643,695.919,876.770463179,0.1193,224000,-250.099,9.92823,0.00320916,10.894469916999242,0.103496,1340,1.67699,2.56907,4.1173294679997525,0.0101583,-0.174077,-0.534971,21,90.47596514999896,0.877591,44000,-695.659,2.66431,275.795,-147.554,-1.832,1962.463188433,-9.96563,75.46416576499996,850.055987749,-0.0165245,216.809,682.094,214.163
97.4536,2.33601,1888.82,-0.00242503,0.0886165,76.81245422363281,235.293,-2.83362,7.68124532699585,0.00217671,1888.28,0.217962,1078.68,892.147194894,0.0740723,234000,56.3237,13.4012,0.00288615,10.652058936997491,0.22412,1400,2.12268,2.69209,4.145533428999897,0.0102381,1.15835,-0.495914,22,89.47504069999741,1.08317,46000,-1085.43,3.48602,137.54,66.738,-1.7638,2051.881337691998,-7.40575,74.67744833400002,799.673638948,-0.058037,449.1,1075.04,446.666
158.234,1.5207,1600.19,-0.00194669,0.0576994,48.2430534362793,313.469,-3.50925,4.824305534362793,0.002505,1596.57,0.192516,1158.77,831.182512065,-0.0935902,244000,-130.211,13.8747,0.00351725,10.363555342999916,0.144298,1460,1.4887,2.48167,4.0889557770001375,0.0120648,1.31013,-0.558741,23,89.22400588900018,1.0637,48000,-1155.64,3.15047,102.22,-62.4907,-1.39904,2141.0743841249982,-8.79214,74.77149476900013,838.019351997,-0.064877,273.37,1150.06,267.023
96.4,1.39464,1717.69,-0.00213329,0.0466664,61.21689987182617,221.241,-2.71821,6.121690273284912,0.00221873,1709.51,0.211273,1123.65,845.66747551,-0.02,254000,40.6386,11.6597,0.00372767,10.301211568000781,0.0489188,1520,2.01568,2.45344,4.058308248999765,0.0104452,1.15433,-0.544279,24,89.8529950900006,1.04999,50000,-1121.16,3.14679,116.595,37.7838,-1.70565,2230.929134262998,-8.03142,75.49347527300006,856.113177392,-0.04364,334.007,1111.02,331.586
81.9582,1.74036,1658.61,-0.00293383,0.0414985,70.2568130493164,301.565,-2.69306,7.025681495666504,0.0021501,1682.07,0.233037,1060.55,869.261502953,0.0571199,264000,-62.9282,10.4202,0.00300002,11.139101663998645,0.150105,1580,1.88502,2.98521,4.060310361999655,0.0104786,0.981197,-0.524827,25,90.04049682599862,1.05568,52000,-1071.46,3.20871,203.618,-89.385,-1.89276,2320.980925837997,-8.18418,74.84108480000032,901.910543579,-0.0505466,346.027,1061.84,343.178
194.44,1.87581,1781.76,-0.00252074,0.0747996,84.23717498779297,188.258,-3.01665,8.423717498779297,0.00242698,1785.2,0.243838,1035.65,856.940842443,0.142991,274000,122.947,10.9242,0.00367562,10.559107246998337,0.0417717,1640,2.01098,2.63604,4.07247342599976,0.0107471,0.91222,-0.513385,26,89.27040805599836,1.03516,54000,-1035.22,3.20261,60.7762,157.034,-1.82694,2410.1985960709953,-9.12517,74.63882738300026,893.815303666,-0.0341435,345.054,1026.05,341.602
160.776,1.80933,1728.91,-0.00281234,0.390251,64.29023742675781,177.393,-3.22179,6.429023742675781,0.00246396,1750.77,0.252913,996.395,921.569699892,0.0936755,284000,-411.289,11.0478,0.0034912,10.549492515999646,0.121777,1700,2.9423,3.39622,4.020520010999917,0.0110137,0.536283,-0.523052,27,88.57624982699963,0.983977,56000,-1008.41,3.21039,203.849,-373.365,-1.91678,2498.7259220599944,-7.96023,74.00623730000007,-56.1396725541,-0.0699007,338.32,998.563,333.431
243.977,1.90014,1345.91,-0.00215053,0.0291442,89.76411437988281,209.087,-2.94041,8.976411819458008,0.0025818,1344.35,0.246706,972.027,925.25319549,0.0544955,294000,-26.1458,12.2091,0.0043769,10.449153135998131,0.0260247,1760,1.64172,2.66487,3.9719112709999536,0.0116966,0.580974,-0.505437,28,88.68446590899794,1.00449,58000,-975.915,3.12281,77.3508,-22.3022,-1.97247,2587.4946436039927,-10.122,74.26340150199985,892.724145584,-0.0828316,268.897,963.132,267.405
109.052,1.43946,1811.02,-0.00215714,0.0606044,66.85292053222656,369.595,-2.77664,6.6852922439575195,0.00212402,1833.88,0.236767,1036.42,953.664045887,0.0392756,304000,-34.0291,11.1045,0.00325597,10.488652544000615,0.0340551,1820,1.91447,2.96233,4.056287806,0.00961164,0.432124,-0.536213,29,88.81406352900058,0.96655,60000,-1060.62,3.03263,820.292,-34.0182,-1.97297,2676.5522874469934,-8.57752,74.26912317899996,908.757652751,-0.0430825,350.194,1053.31,346.307
