Itr,LossBefore,LossAfter,train-NumTrajs,train-EnvExecTime,Time,train-PolicyExecTime,train-MaxReturn,Time-Sampling,train-StdReturn,Time-Optimization,ItrTime,train-AverageReturn,Time-SampleProc,train-AverageDiscountedReturn,train-MinReturn,n_timesteps,train-AveragePolicyStd
785,0.00034161806,-0.00094637246,257,10.654183864593506,11182.03906917572,0.8920547962188721,767.3357803636488,11.97342038154602,130.79886148240976,2.2938828468322754,14.53889274597168,431.08607755764825,0.2657651901245117,179.28384080421242,95.06751555318962,31440000,0.21973018
786,0.0012143009,-0.0060166125,260,10.575246572494507,11196.47474527359,0.8782534599304199,773.6281269669098,11.872866153717041,141.05491087746327,2.276153326034546,14.414864778518677,429.8586415117217,0.2600235939025879,180.2917885649219,72.94587700415838,31480000,0.21950786
787,0.00082452747,-0.0008549619,261,10.633390188217163,11211.031172990799,0.8965294361114502,730.7704760512627,11.954664468765259,138.91690358694356,2.3156378269195557,14.535959959030151,428.74424182701534,0.2598280906677246,180.82969546684222,110.24400342333774,31520000,0.21923515
788,0.001037892,-0.0055907513,267,10.606653928756714,11225.571918964386,0.889228105545044,751.4538832687933,11.922401905059814,142.306382711389,2.2931673526763916,14.519808530807495,413.5410141008763,0.29837679862976074,176.78082091051903,49.37370118106401,31560000,0.21919753
789,0.0021626963,-0.0051830825,275,10.360461235046387,11239.834690093994,0.8822674751281738,815.4769297315472,11.670711994171143,126.66319151241886,2.303615093231201,14.24145221710205,412.2878732264137,0.2611875534057617,179.910894947653,66.86835123810597,31600000,0.21942143
790,0.0026540018,-0.006347281,272,10.181825399398804,11253.815818786621,0.868537187576294,744.7472045291328,11.477193593978882,127.13815624415942,2.21787428855896,13.960759162902832,411.0607568340199,0.25978517532348633,178.88819166113112,149.44126599750507,31640000,0.21967629
791,0.00022756643,-0.006699193,279,10.55218768119812,11268.255001783371,0.8855242729187012,741.4203754690845,11.863954305648804,132.2811990212596,2.2795298099517822,14.418293952941895,408.1887013085022,0.26891398429870605,178.51400327493465,17.095810183973306,31680000,0.21992247
792,0.002882138,-0.008225932,259,10.395321607589722,11282.485291957855,0.8698792457580566,738.7071345407993,11.681082010269165,128.9657402810621,2.2696895599365234,14.21018362045288,445.07094318825756,0.2536752223968506,186.52494848200985,114.68019291608674,31720000,0.2200561
793,0.001710911,-0.008113655,276,10.455763339996338,11296.800153255463,0.8786461353302002,763.1578612146309,11.754480838775635,119.40707051933556,2.2743442058563232,14.29530930519104,401.96845844606247,0.2606191635131836,176.54378774792144,165.87408255381538,31760000,0.22022557
794,0.00078660774,-0.0071017644,268,10.469375848770142,11311.131302833557,0.8791604042053223,751.6353583991815,11.769272565841675,138.09721235398055,2.2781026363372803,14.311393737792969,410.8050510177636,0.2581171989440918,175.77794477532527,16.210796130254113,31800000,0.2204587
795,0.0021729707,-0.007429698,271,10.343219518661499,11325.519067049026,0.874443531036377,790.6045853867885,11.642810583114624,138.12159176216772,2.279780149459839,14.367686033248901,420.29302936003694,0.439098596572876,180.49779550791845,116.64559671605204,31840000,0.220476
796,0.00064717385,-0.007529701,266,10.502229928970337,11339.91474866867,0.8774621486663818,728.4295753599969,11.80354619026184,136.18673358697922,2.3086469173431396,14.375040054321289,424.4380280338355,0.25696492195129395,179.9904043099049,140.7501717757879,31880000,0.22010836
