Sample Time (s),V Predictions Min,Policy Loss,Epoch Time (s),Policy mu Min,AverageReturn_all_test_tasks,Number of env steps total,Log Pis Min,(Previous) Eval Time (s),Log Pis Std,AverageTrainReturn_all_train_tasks,Z mean eval,Z variance eval,Train Time (s),Policy mu Std,KL Loss,Policy mu Mean,V Predictions Std,VF Loss,KL Divergence,Q Predictions Max,QF Loss,Z variance train,Q Predictions Std,Number of train steps total,Policy log std Std,Policy log std Mean,V Predictions Mean,Log Pis Max,Policy log std Max,Epoch,Total Train Time (s),Number of rollouts total,Log Pis Mean,Policy log std Min,V Predictions Max,AverageReturn_all_train_tasks,Q Predictions Mean,Policy mu Max,Q Predictions Min,Z mean train
5.604428524617106,27.5168,-1123.62,51.37198955612257,-3.56555,933.373374637,284000,-8.16203,8.262771238572896,3.5592,1039.11882683,2.19754,0.0641917,37.50478979293257,1.18762,13.0675687789917,-0.0984249,312.073,114.5,130.67568969726562,1769.35,469.18,0.11014,315.864,56000,0.252951,-0.529733,1123.9,14.3609,0.155815,27,1714.544509793166,0,2.10247,-1.98142,1751.43,907.264551678,1110.99,2.76885,27.0286,1.59609
7.027595310937613,16.6503,-1316.74,63.48482024203986,-2.78723,958.978589404,294000,-9.94254,8.465788955800235,3.36909,913.784285598,2.19702,0.0346031,47.99143597530201,1.13536,7.414648532867432,-0.0952446,337.781,120.948,74.146484375,1851.29,202.26,0.112681,339.948,58000,0.22142,-0.549409,1322.21,13.1834,-0.00488865,28,1780.2200816483237,0,1.8659,-1.86365,1865.94,914.052923245,1308.09,2.78664,25.6748,1.67882
7.077216137200594,-95.5943,-1109.37,65.25799346994609,-2.75205,928.744381513,304000,-9.0631,10.657001292798668,3.24865,1022.29155246,2.22823,0.0326822,47.523776039946824,1.05186,6.142945289611816,-0.0908495,417.39,674.133,61.42945098876953,1841.91,276.495,0.0950762,421.581,60000,0.240626,-0.539909,1131.44,12.3603,0.0554429,29,1845.420886604581,0,1.13747,-1.84633,1857.32,1044.43386322,1107.58,3.38637,-60.9107,1.47101
6.974770012777299,59.0585,-1308.42,64.73852900695056,-2.75196,936.242609356,314000,-7.76873,10.59999949997291,3.33264,1025.87457328,2.28821,0.0346325,47.16375949420035,1.12443,8.879216194152832,-0.0457687,430.308,115.942,88.79216003417969,2020.2,209.812,0.0423033,437.303,62000,0.242285,-0.538023,1302.72,12.0764,0.249024,30,1910.238160348963,0,1.60434,-1.92095,2004.61,989.031347432,1295.84,2.67627,46.5707,1.92598
7.086177807301283,-19.8779,-1268.21,64.91923811053857,-2.6162,793.172477475,324000,-10.3729,10.67947645811364,3.27044,1008.94066588,1.62402,0.0557265,47.15358384512365,1.12027,8.08967113494873,-0.0980463,389.358,120.259,80.89671325683594,1915.06,211.309,0.100151,393.663,64000,0.253639,-0.563727,1262.64,15.6076,0.138672,31,1974.9982810216025,0,1.7901,-1.89712,1899.94,715.953382298,1256.18,2.60195,20.126,1.52119
6.942897808272392,7.15852,-1212.79,55.57731629908085,-2.66116,937.442664811,334000,-8.00354,10.520391422789544,3.24387,941.345833231,2.09404,0.0326559,38.11402706801891,1.07813,6.370111465454102,-0.107611,353.399,97.039,63.701114654541016,1828.67,234.461,0.078409,358.196,66000,0.252154,-0.566079,1210.07,12.2552,0.125559,32,2028.0220411587507,0,1.56943,-1.99871,1822.12,951.695746101,1199.63,2.87445,-10.3652,1.27231
5.510344455484301,-3.77079,-1255.71,49.797889767214656,-2.73871,974.017444894,344000,-6.34493,7.967244762927294,3.24698,1001.84738537,1.46221,0.0481731,36.32030054880306,1.08281,6.424170970916748,-0.0470575,397.85,232.528,64.24170684814453,1964.76,315.947,0.0482588,408.092,68000,0.242428,-0.548028,1245.73,12.9871,0.14007,33,2079.6262841108255,0,1.48382,-1.91779,1929.35,942.660496293,1248.18,2.74266,-3.57614,1.53101
7.032089089043438,1.39969,-1398.51,63.67105987574905,-2.9609,982.51382209,354000,-7.87004,9.774035489652306,3.37024,900.423723896,1.22269,0.045327,46.86493529705331,1.10858,9.213371276855469,-0.0810286,418.874,99.5885,92.13371276855469,2128.53,242.644,0.09009,421.521,70000,0.253139,-0.54093,1400.26,12.7194,0.249241,34,2144.072606628295,0,1.50986,-2.11024,2130.38,358.532028595,1386.66,2.78413,12.5051,1.71247
6.982776251155883,-3.25446,-1499.77,64.5972518241033,-3.13983,1010.77678197,364000,-6.99221,10.549768383614719,3.26477,1090.11385611,1.2139,0.0441601,47.064707189332694,1.1241,6.9590983390808105,-0.0706664,366.668,275.702,69.59098052978516,2023.81,298.324,0.083275,378.418,72000,0.23812,-0.575939,1487.22,10.9627,0.104344,35,2208.6416967553087,0,1.74345,-1.81918,2002.21,1060.94227028,1484.39,2.81252,3.74454,1.52701
6.92849301174283,13.0619,-1556.65,65.09606767864898,-3.08874,671.729748672,374000,-9.56932,10.521966753993183,3.42012,1081.38204968,1.34923,0.0488397,47.645607912912965,1.14945,7.706551551818848,-0.0422482,386.915,310.227,77.06551361083984,2097.11,216.447,0.0858648,388.334,74000,0.23777,-0.562694,1570.44,11.2909,0.0424779,36,2273.805614477489,0,1.89741,-1.86209,2120.87,1031.21873583,1546.22,3.02423,-19.6357,1.65848
7.061754243914038,50.1501,-1252.14,64.73695229692385,-2.75036,925.756607751,384000,-8.4572,10.590261752251536,3.2981,934.487992387,1.22261,0.0210721,47.08493630075827,1.08789,7.235196590423584,-0.154085,429.646,121.68,72.35196685791016,2143.43,261.741,0.0815296,438.734,76000,0.258638,-0.539876,1246.63,14.2744,0.199691,37,2338.5889708427712,0,1.49437,-1.9303,2129.03,944.931024449,1234.57,2.59738,47.0462,1.58408
7.081037704367191,-35.4607,-1381.72,55.93546853028238,-2.80284,1019.40127163,394000,-8.91433,10.637138356920332,3.304,1019.28060688,1.28403,0.0506562,38.217292468994856,1.10247,7.611018657684326,-0.074024,361.019,175.645,76.11018371582031,1980.15,278.427,0.0612905,371.834,78000,0.241936,-0.553168,1376.77,11.9629,0.103007,38,2391.9290106273256,0,1.5135,-1.91961,1961.74,999.276290123,1374.08,2.64743,-20.8621,1.2411
5.510217763017863,9.03204,-1523.44,52.73120214883238,-3.06851,750.779260339,404000,-6.5809,8.041960838716477,3.23653,1021.92477782,1.25259,0.0452003,39.17902354709804,1.11592,6.529706001281738,-0.0729721,359.114,500.421,65.29705810546875,2065.45,241.536,0.0408475,363.386,80000,0.234386,-0.565766,1541.15,10.7405,0.119622,39,2447.0982516440563,0,1.70225,-1.89326,2093.2,565.611295877,1516.01,2.52463,-1.42278,1.67231
6.84240923402831,34.8485,-1722.38,64.75715703796595,-3.70228,735.48928968,414000,-7.74334,10.48039832804352,3.55046,1002.16368111,1.21478,0.0484686,47.43434947589412,1.1607,6.875112056732178,-0.0691957,270.396,55.9389,68.7511215209961,2131.52,181.626,0.0639004,279.474,82000,0.233164,-0.579591,1721.23,18.6812,0.0924692,40,2511.876835356932,0,2.05422,-1.82215,2131.12,1015.12255642,1710.3,2.75192,24.1513,1.5102
6.87860084278509,199.293,-1330.12,64.09127963148057,-2.75435,996.214314907,424000,-7.19076,10.502274174708873,3.11124,1016.2048526,1.76617,0.0286576,46.71040461398661,1.07467,7.838647365570068,-0.101787,430.067,95.3894,78.386474609375,2241.42,222.668,0.0433928,434.296,84000,0.272736,-0.568829,1330.61,13.2035,0.202564,41,2575.965222216677,0,1.46254,-1.93943,2256.29,1012.96484618,1313.78,2.83226,216.472,1.64212
6.9317444153130054,135.561,-1510.22,63.96960631059483,-3.40842,476.584395314,434000,-7.96575,10.499831221997738,3.30639,1120.49306767,1.65868,0.0289411,46.538030673284084,1.11145,8.667744636535645,-0.129036,386.772,267.176,86.67744445800781,2177.19,331.606,0.056721,387.864,86000,0.262808,-0.561718,1515.23,19.8206,0.15938,42,2640.0212638056837,0,1.70079,-1.96375,2186.98,1097.34292346,1501.28,3.22455,132.028,2.14968
6.981057978700846,171.694,-1458.52,64.39432878047228,-3.01814,681.350227137,444000,-7.43524,10.586738480720669,3.45121,935.215952064,1.18506,0.0184735,46.82653232105076,1.03908,6.542474269866943,-0.0646808,530.749,334.837,65.42474365234375,2284.8,958.772,0.0711109,542.237,88000,0.253834,-0.573675,1459.48,14.339,0.0720295,43,2704.342365827877,0,1.30784,-1.92259,2273.54,735.972233876,1439.27,2.92338,192.676,0.95129
5.464456337038428,193.046,-1507.53,52.800749559886754,-2.76822,1051.22521651,454000,-9.10549,10.513853365089744,3.26262,1164.3876515,1.54606,0.0420272,36.82243985775858,1.08487,7.076798915863037,-0.207748,412.738,99.4493,70.76799011230469,2168.13,231.72,0.05891,423.053,90000,0.254661,-0.563804,1509.2,12.5917,0.11753,44,2754.9138545733877,0,1.54767,-2.0008,2166.33,1114.90408664,1494.76,2.8499,196.052,1.72184
5.655284374952316,251.87,-1439.9,55.43679066840559,-2.88499,1012.36837593,464000,-8.08627,8.285197521094233,3.39013,1010.47506167,1.05506,0.0296126,41.49630877235904,1.12534,9.452849388122559,-0.204389,412.993,120.468,94.52849578857422,2121.17,334.349,0.0540613,419.235,92000,0.270299,-0.529921,1435.77,13.0264,0.105882,45,2812.691924255807,0,1.76895,-2.06198,2110.39,751.13151309,1434.9,2.69075,271.33,1.9623
7.034276835620403,247.98,-1642.16,64.8587189395912,-2.54845,573.066578639,474000,-7.56834,10.626827704254538,3.30481,1075.26561897,1.24527,0.0339161,47.19761439971626,1.12609,6.2501044273376465,-0.107863,390.756,116.728,62.501041412353516,2204.54,201.338,0.0626432,397.257,94000,0.248495,-0.575978,1642.8,11.5653,0.099288,46,2877.8050996102393,0,1.86936,-2.06735,2219.45,1039.88703584,1629.03,2.62726,246.064,1.33797
7.19453796884045,245.54,-1518.82,66.07292631594464,-3.02045,1026.8035832,484000,-11.2736,10.881891526281834,3.30554,1030.00027544,2.02907,0.044163,47.99649682082236,1.04787,6.5321526527404785,-0.109407,530.757,203.923,65.32152557373047,2405.87,613.396,0.0315293,538.019,96000,0.257824,-0.566462,1519.69,11.8286,0.0854583,47,2943.6778936600313,0,1.13219,-1.901,2397.87,789.150086856,1505.63,2.92557,252.324,1.11776
7.116377341561019,260.426,-1643.0,65.76269036764279,-2.83889,244.584213981,494000,-9.60554,10.682323736138642,3.5293,1062.70947439,1.55645,0.0393735,47.96398928994313,1.13248,8.751822471618652,-0.116584,382.981,167.294,87.51821899414062,2245.05,269.312,0.067406,388.245,98000,0.272588,-0.574351,1647.47,14.4005,0.159407,48,3009.2434543734416,0,1.89988,-1.92086,2247.04,817.166670657,1635.68,2.9642,250.606,1.36133
6.8748149406164885,237.012,-1413.56,64.73913527466357,-2.50724,780.745274135,504000,-7.59115,10.485597488004714,3.22036,1136.91884922,2.06711,0.0392721,47.378722846042365,1.03455,5.35385799407959,-0.1208,440.293,186.699,53.538578033447266,2148.81,378.22,0.0641206,448.435,100000,0.251325,-0.573831,1413.71,12.4301,0.155263,49,3071.4967199251987,0,0.924603,-1.94916,2162.68,1138.69482975,1399.99,2.46239,240.779,1.02649
