KL Divergence,R Predictions Std,Log Pis Std,Q Predictions Max,Policy mu Min,Number of rollouts total,Sample Time (s),Policy mu Max,AverageReturn_all_train_tasks,Q Predictions Min,RF Loss,V Predictions Min,Policy mu Mean,V Predictions Mean,Epoch Time (s),V Predictions Max,Log Pis Max,R Predictions Max,Q Predictions Std,(Previous) Eval Time (s),Z mean train,Total Train Time (s),KL Loss,R Predictions Mean,Number of train steps total,Train Time (s),Policy log std Std,Z variance train,Policy Loss,Policy mu Std,Z variance eval,QF Loss,Q Predictions Mean,Log Pis Min,Number of env steps total,V Predictions Std,R Predictions Min,Policy log std Mean,Epoch,Policy log std Max,Policy log std Min,Log Pis Mean,VF Loss,AverageReturn_all_test_tasks,Z mean eval
171.08885192871094,0.00113189,3.39074,1617.35,-5.68082,38277,4.897824628977105,6.0813,619.764628335,-50.0534,233.05,-35.7163,0.347937,1032.71,148.4770218389749,1617.91,45.8293,0.0052292,286.395,18.385320993998903,1.22674,94519.70648849574,17.108884811401367,0.00127788,1280000,125.1938762159989,0.287848,0.00088084,-1033.68,0.864119,0.00175758,574.899,1027.27,-8.51446,2640000,277.119,-0.00167771,-0.770636,639,0.339293,-3.27754,1.01215,154.436,622.192546202,0.545453
165.70030212402344,0.00105004,3.43765,1669.04,-4.29818,38320,4.753658991961856,7.03316,606.53682654,-113.673,239.093,-24.308,0.341907,999.325,146.22744412596512,1668.21,38.7832,0.00473586,287.544,17.754096313001355,0.725761,94666.0528241617,16.570030212402344,0.00122185,1282000,123.71968882100191,0.281396,0.00230733,-1002.22,0.841237,0.00199098,570.186,996.578,-9.98949,2644000,274.509,-0.00198455,-0.745932,640,0.574811,-2.99638,0.692877,140.009,622.415211021,0.527752
157.54251098632812,0.00108532,3.18519,1475.79,-5.36212,38365,4.990965190998395,5.49709,609.911196138,-55.4839,264.316,-20.4404,0.314178,1040.63,147.6371429790015,1464.28,30.9136,0.00507404,245.216,17.877536410000175,0.722268,94814.3664379217,15.754251480102539,0.00132547,1284000,124.76864137800294,0.271866,0.00247718,-1039.18,0.865484,0.001667,588.957,1033.39,-9.19379,2648000,231.277,-0.00136735,-0.759441,641,0.194129,-2.98033,0.882117,407.435,611.59294186,0.591702
161.9290313720703,0.00101956,3.11328,1683.06,-8.43018,38410,4.954582633959944,5.2065,614.112741637,-21.502,244.025,-39.9483,0.298613,1048.47,147.91429843196238,1676.18,33.5384,0.00419965,292.779,18.55820638500154,0.985729,94961.34906769566,16.192903518676758,0.00122501,1286000,124.4015094130009,0.270424,0.00219644,-1053.08,0.838064,0.00198841,491.407,1048.36,-8.60362,2652000,289.42,-0.00101445,-0.761638,642,0.718527,-3.08478,0.645235,170.318,615.937719574,0.399056
159.81121826171875,0.00105644,3.18378,1739.92,-4.02007,38454,4.833907386040664,7.41692,627.694063784,-76.2041,261.403,-32.6502,0.286909,1068.28,147.16379824905016,1733.03,28.5411,0.00475797,271.693,17.630765825000708,0.644056,95109.29478073773,15.981122016906738,0.00135414,1288000,124.69912503800879,0.272499,0.00154435,-1066.29,0.859409,0.00136113,639.303,1058.48,-9.67406,2656000,263.539,-0.00150428,-0.77505,643,0.332817,-2.86994,0.799734,149.34,632.814224935,0.662827
152.6766357421875,0.00099651,3.15343,1654.21,-5.28229,38504,4.903254688993911,4.69191,612.975368633,-51.5016,250.46,-21.5106,0.268226,1141.67,147.97169570699043,1645.59,27.5948,0.00463235,264.975,18.41731519800669,0.828726,95257.05730755073,15.267663955688477,0.00117785,1290000,124.65112581998983,0.263416,0.00210499,-1144.74,0.857173,0.00231524,476.332,1137.09,-7.87161,2660000,253.77,-0.00131278,-0.750051,644,0.206573,-3.11657,0.653242,154.39,606.856403369,0.580419
155.9610137939453,0.00105197,3.28314,1895.93,-4.96596,38552,4.962826232003863,5.18213,609.151788434,-96.604,247.309,-20.0936,0.344142,1097.36,147.84591871900193,1879.55,38.1332,0.00466918,295.329,18.212733523003408,0.600008,95404.7526248697,15.596101760864258,0.00114651,1292000,124.67035896399466,0.280696,0.00269296,-1099.35,0.850536,0.00125885,877.921,1093.71,-10.9868,2664000,284.694,-0.00118666,-0.764144,645,0.124651,-2.9648,0.877386,169.736,620.134500318,0.581008
152.22006225585938,0.00102217,3.15833,1499.81,-5.58774,38598,4.728879166927072,5.25447,617.20253536,-50.0094,249.942,3.04984,0.312871,1123.14,147.86225774191553,1484.01,36.115,0.00456776,244.142,18.066622177997488,0.596826,95552.86251167863,15.222006797790527,0.00122338,1294000,125.06675639699097,0.276844,0.0018445,-1119.01,0.834548,0.00195221,514.437,1113.39,-9.49149,2668000,231.169,-0.00130043,-0.770304,646,0.148168,-2.78549,0.701874,225.532,606.654512486,0.472896
149.7431640625,0.00106177,3.29142,1620.64,-5.20323,38644,4.761994849992334,5.66515,600.643216603,-108.08,253.967,-79.5843,0.286971,1090.59,148.68959656899096,1616.8,31.0874,0.00436085,245.902,18.318755383996177,0.748965,95701.26412140763,14.974316596984863,0.00120715,1296000,125.60884633500245,0.27289,0.00190486,-1089.06,0.841968,0.00148558,623.797,1083.02,-8.02781,2672000,234.218,-0.00127758,-0.766705,647,0.340864,-3.08885,0.70877,152.207,607.912049665,0.447462
175.2649688720703,0.00112185,3.3538,1798.23,-6.42196,38689,4.935881034005433,5.76808,610.174348456,-130.456,260.085,-56.1609,0.297545,1051.79,147.39309385699744,1799.02,36.4342,0.00637294,320.972,18.035730820993194,0.974506,95848.68179954163,17.52649688720703,0.00120245,1298000,124.42148200199881,0.288177,0.002081,-1045.34,0.884498,0.00139391,733.014,1041.85,-11.8602,2676000,314.683,-0.00205006,-0.781021,648,0.321075,-3.10318,1.03766,234.147,606.255712728,0.596965
