V Predictions Mean,QF Loss,R Predictions Max,Number of train steps total,KL Loss,Policy Loss,V Predictions Max,RF Loss,Q Predictions Std,Policy mu Mean,Z mean eval,Z mean train,Log Pis Max,Q Predictions Max,Policy mu Std,Sample Time (s),Total Train Time (s),Q Predictions Mean,Epoch,KL Divergence,Q Predictions Min,Policy log std Max,Log Pis Mean,Policy mu Min,Train Time (s),Epoch Time (s),Policy log std Min,Policy log std Mean,AverageReturn_all_test_tasks,R Predictions Min,Number of env steps total,Policy mu Max,Z variance eval,Policy log std Std,V Predictions Min,VF Loss,Log Pis Std,AverageReturn_all_train_tasks,V Predictions Std,Log Pis Min,R Predictions Std,(Previous) Eval Time (s),R Predictions Mean,Z variance train,Number of rollouts total
513.009,988.772,-0.00117419,42000,16.83717918395996,-508.803,691.078,78.5708,193.111,0.423056,0.801047,0.347163,33.4053,678.591,0.943246,4.908832465999694,3221.8415610629972,468.483,20,168.3717803955078,-66.8093,0.235367,0.615468,-6.59697,122.71420463400045,148.63975457299966,-2.32249,-0.518237,154.551822734,-0.0130197,164000,4.2942,0.00125167,0.293006,-59.8213,397.046,5.02344,171.641432771,154.599,-8.77465,0.00208779,21.016717472999517,-0.00762272,0.00205554,10831
500.683,886.873,-0.00029164,44000,23.127639770507812,-505.025,765.629,61.2007,207.743,0.523551,0.572829,1.63029,35.8357,743.175,0.913938,4.933350760999019,3370.6037246669966,459.176,21,231.27639770507812,-133.368,0.220254,1.00008,-4.82452,122.84599483200054,149.07953711199934,-2.53241,-0.555886,74.7110924108,-0.0137143,168000,6.80922,0.000665288,0.349339,-161.599,365.196,4.89642,91.7448856858,169.831,-8.8996,0.00238826,21.30019151899978,-0.00754356,0.000312433,10896
510.502,1280.26,-0.000298496,46000,17.424161911010742,-513.092,756.827,51.1686,194.02,0.459145,0.722858,0.914208,32.9144,746.684,0.878185,4.8065911900012,3518.2267309949975,470.655,22,174.24160766601562,-122.423,0.372491,0.469395,-4.80723,121.99549933100025,147.78530998000133,-2.45161,-0.526536,119.426970361,-0.0139429,172000,5.73106,0.00155683,0.321165,-136.531,260.444,4.87039,122.205935367,153.013,-9.13206,0.00235197,20.983219458999883,-0.00741743,0.0016258,10959
454.934,852.163,-0.000522019,48000,21.58134651184082,-454.54,658.907,56.4645,177.279,0.409431,0.674597,1.03714,29.5124,661.486,0.897192,4.869837445003213,3666.2178915269997,425.092,23,215.81346130371094,-117.751,0.371246,0.460914,-4.00717,122.05948977299977,147.75069012800304,-2.99354,-0.554161,125.588897326,-0.0132943,176000,6.05009,0.0034251,0.332334,-118.579,236.38,4.28083,139.01240746,150.354,-9.31863,0.00249811,20.82136291000006,-0.00749857,0.000647416,11017
475.833,750.618,-0.000979019,50000,16.30006217956543,-476.927,668.727,54.2165,183.142,0.330838,0.406296,0.361977,36.8537,671.433,0.93131,4.8210457740033235,3815.456271735002,445.252,24,163.00062561035156,-51.9057,0.561291,0.312314,-5.05467,122.02845724399958,147.911835693003,-2.21954,-0.53826,84.6575706193,-0.0130744,180000,7.77313,0.00114816,0.290764,-64.2091,227.463,4.99947,92.3504953302,152.83,-9.06569,0.00229705,21.062332675000107,-0.00748318,0.00162158,11084
467.346,1019.52,-0.000786324,52000,18.817996978759766,-462.539,684.703,58.6883,182.045,0.363284,0.62396,1.54609,30.9976,661.418,0.920948,4.81915847700202,3963.982472636005,436.007,25,188.17996215820312,-55.1471,0.312133,0.329434,-5.35113,122.1600750030002,149.36848467200252,-2.57021,-0.520759,124.619322054,-0.0127531,184000,6.26973,0.00177285,0.308692,-38.4239,393.651,4.5884,124.561692809,154.289,-10.5935,0.00237665,22.3892511920003,-0.00758989,0.000145606,11153
483.252,1177.21,-0.00134239,54000,19.925579071044922,-480.463,736.671,80.0923,189.345,0.365235,0.575766,0.689917,32.2897,707.844,0.878193,4.809078833001877,4111.609947440007,443.156,26,199.2557830810547,-133.156,0.291059,0.27814,-4.15342,121.8669102089998,148.22337312400214,-2.45316,-0.557926,134.076306438,-0.0132732,188000,4.78217,0.00231536,0.339966,-49.9524,263.599,4.65008,158.064675173,153.637,-8.0117,0.00249424,21.547384082000463,-0.00767302,0.000786,11213
461.045,798.895,-0.00121787,56000,16.997644424438477,-466.836,678.603,73.558,183.283,0.40936,0.501086,1.05059,31.9778,687.797,0.893722,4.919399634000001,4260.930380478008,438.107,27,169.9764404296875,-43.5185,0.290359,0.400342,-4.02308,122.60388931699981,148.47530966500017,-2.47103,-0.545193,119.261947034,-0.0130991,192000,5.90353,0.00248166,0.303266,-37.618,325.569,4.86523,134.271616558,153.372,-10.1661,0.00237977,20.952020714000355,-0.00777672,0.00200702,11282
471.809,972.71,-3.26501e-05,58000,16.403127670288086,-461.765,660.414,53.0042,179.779,0.391221,1.29733,0.228293,46.3271,646.123,0.899861,4.873315989999355,4409.61253565301,432.494,28,164.03126525878906,-81.9151,0.31829,0.310141,-6.15833,122.4857022010001,149.15669783300018,-2.4371,-0.525155,146.502068223,-0.0131187,196000,5.06634,0.0020824,0.3133,-40.277,328.919,5.02291,141.752390964,151.588,-11.5091,0.00246098,21.79767964200073,-0.0074601,0.00193556,11344
460.301,928.807,-0.000989092,60000,18.981420516967773,-467.277,662.307,58.5612,183.513,0.39713,1.0014,1.09879,35.4686,647.942,0.871782,4.815080900999419,4557.67478958701,433.598,29,189.814208984375,-74.6276,0.260456,0.186243,-4.22368,122.61208141099996,148.75071944899992,-2.38377,-0.543235,127.38463329,-0.0132797,200000,5.06868,0.00260406,0.313625,-34.1945,313.716,4.49738,136.169989291,151.226,-7.9266,0.00240817,21.323557137000535,-0.0074555,0.00357063,11409
439.726,1156.3,-0.000967893,62000,17.775348663330078,-437.514,634.011,52.4098,167.508,0.392756,0.814547,1.27486,28.9499,623.657,0.905541,4.810247791999245,4706.0787683500075,413.81,30,177.75347900390625,-74.1001,0.206213,0.412794,-4.44372,122.04777852899952,147.49391247999847,-2.50475,-0.561998,171.867752033,-0.0127953,204000,4.4676,0.00181008,0.312297,-61.0431,282.82,4.69331,159.774527065,144.532,-9.45038,0.0024969,20.63588615899971,-0.00759575,0.0031383,11483
454.465,1043.14,-0.000769219,64000,14.340425491333008,-454.7,630.714,44.1862,171.18,0.432474,0.511311,0.591436,43.3627,636.569,0.808505,4.8224464109980545,4854.927583066008,430.662,31,143.4042510986328,-79.1693,0.0904022,-0.0401834,-4.75687,122.48333442600051,148.8519326889982,-2.62574,-0.553817,147.28561458,-0.0126174,208000,7.71561,0.00302156,0.289764,-55.9303,240.137,4.33827,147.869666073,145.777,-10.9493,0.00232189,21.54615185199964,-0.00747427,0.000895838,11544
464.247,853.287,-0.000785862,66000,18.63947105407715,-463.796,801.056,48.2517,184.006,0.511946,0.611727,0.657092,35.1125,779.589,0.849686,4.885402990998045,5003.522956845005,430.732,32,186.39471435546875,-70.3812,0.359954,0.500701,-4.11622,122.28782683600002,148.71665457799736,-2.38431,-0.563324,157.369631034,-0.0130036,212000,5.87484,0.00256872,0.317154,-55.1356,206.895,4.50169,171.518112251,159.247,-10.2454,0.00237344,21.543424750999293,-0.00746668,0.000252912,11596
444.452,937.477,-0.00073068,68000,16.11555290222168,-433.829,596.896,45.4682,159.707,0.462833,0.678946,0.910227,28.3525,591.046,0.824155,4.893360905002737,5153.52882933101,410.546,33,161.155517578125,-54.8257,0.175353,0.0144428,-4.86757,122.57519952599978,148.89121513900227,-2.43013,-0.524971,214.42599003,-0.0123072,216000,4.14058,0.00110437,0.282509,-43.2197,387.38,4.41851,202.326732818,131.059,-10.2386,0.00243745,21.422654707999754,-0.00730424,0.00193824,11654
401.526,856.636,-0.00110812,70000,18.860883712768555,-403.402,628.901,60.6602,169.325,0.518229,0.340077,1.1407,29.3992,632.292,0.826143,4.878635612998551,5302.132962825008,374.949,34,188.60882568359375,-74.5516,0.28268,0.374142,-5.36153,121.99838388900025,149.4150015319983,-2.45363,-0.545577,207.517664811,-0.0134915,220000,4.77741,0.00102412,0.307208,-50.5182,183.953,4.32265,205.244993392,143.517,-8.96513,0.00239282,22.53798202999951,-0.00768133,0.000222566,11716
458.987,659.398,-0.000119189,72000,17.956649780273438,-457.216,701.127,51.3747,173.835,0.469858,0.402807,0.485576,32.4656,691.854,0.831018,4.909726745994703,5450.631340122003,428.737,35,179.56649780273438,-63.0278,0.282945,0.109412,-4.11358,121.98660361600014,148.62374261099467,-2.56366,-0.522558,189.588349427,-0.0131343,224000,5.20183,0.00254094,0.276344,-51.9813,209.878,4.59155,200.34797379,152.242,-8.42361,0.00238154,21.727412248999826,-0.00755468,0.00250425,11773
467.504,630.499,-0.000191271,74000,17.88783073425293,-465.822,635.517,62.9484,175.768,0.497699,0.354435,1.2372,37.0477,638.555,0.843948,4.889393360001122,5600.754286612002,436.762,36,178.8782958984375,-44.0425,0.149513,0.205739,-4.2539,123.06452129900026,149.5570151740012,-2.4798,-0.512925,176.830270603,-0.0135711,228000,5.591,0.0023014,0.28997,-42.9714,212.086,4.93803,181.308895165,145.999,-10.6642,0.00240614,21.603100514999824,-0.00737078,8.83017e-05,11830
434.48,616.645,-0.00144325,76000,17.78883171081543,-435.127,616.665,50.9736,157.939,0.410922,0.504388,0.532644,30.5492,628.062,0.828118,5.015288333004719,5750.148224926006,416.13,37,177.8883056640625,-41.4043,0.0952498,-0.0957537,-4.49053,122.31320233399856,149.4975234620033,-2.33817,-0.506023,207.98026077,-0.0134626,232000,4.38436,0.00619324,0.281044,-58.6615,189.488,4.26575,210.670592373,139.26,-7.88795,0.0023885,22.16903279500002,-0.00746189,0.00138303,11885
416.729,664.032,-0.00117919,78000,17.033184051513672,-418.292,583.73,60.8122,159.737,0.55673,0.286639,0.753926,32.8098,574.554,0.807484,4.968209020997165,5899.700015824008,392.119,38,170.3318328857422,-59.8187,0.152762,0.287659,-3.54017,123.62982556899988,150.66404033199797,-2.42146,-0.520572,178.293402335,-0.0127779,236000,5.59096,0.00156843,0.269156,-65.2525,159.519,4.36845,195.277776116,132.977,-11.7989,0.00238377,22.066005742000925,-0.00767302,0.00132324,11942
413.569,821.297,-0.000834737,80000,19.108959197998047,-419.927,622.622,51.3779,166.709,0.424558,0.657978,0.559526,32.7288,619.931,0.825614,5.034936948997711,6048.985083995005,393.951,39,191.08958435058594,-89.049,0.364834,0.0295125,-5.95996,122.6939938989999,148.68343263699717,-2.33077,-0.52888,180.279430055,-0.0134023,240000,4.90231,0.00236975,0.291183,-76.5918,233.378,4.2574,164.671864817,146.263,-9.36768,0.00239472,20.95450178899955,-0.00758654,0.00144915,12008
430.423,596.384,-0.000504917,82000,16.15700340270996,-435.025,621.349,47.479,166.909,0.368137,0.259192,0.432395,32.919,617.829,0.82282,4.9126814320025005,6198.656303449006,412.441,40,161.57003784179688,-63.807,0.446661,-0.182441,-4.11729,123.07384203699985,149.54333982600292,-2.32323,-0.541591,196.215438228,-0.0127929,244000,4.67945,0.00360141,0.27153,-48.1869,279.046,4.06226,196.425689973,146.718,-9.47739,0.00230891,21.55681635700057,-0.00752657,0.00191293,12067
430.32,660.959,-0.00122545,84000,16.452268600463867,-430.782,595.898,50.5048,170.083,0.467386,0.353952,0.519429,33.1928,595.259,0.829404,4.916993376997198,6347.281881388006,405.928,41,164.52268981933594,-76.2923,0.176361,0.133417,-4.27478,121.79036359999918,148.39235267699587,-2.27983,-0.539604,192.084051194,-0.0129952,248000,4.69747,0.00101188,0.288953,-46.965,187.881,4.67854,224.165563792,143.955,-9.54189,0.00231572,21.68499569999949,-0.0075137,0.00250217,12122
