V Predictions Mean,Epoch,Q Predictions Mean,KL Divergence,R Predictions Max,Policy mu Std,AverageReturn_all_test_tasks,KL Loss,Policy log std Min,V Predictions Min,R Predictions Std,QF Loss,VF Loss,Policy Loss,R Predictions Min,V Predictions Max,Epoch Time (s),Policy mu Min,Z variance train,Log Pis Std,Z variance eval,Z mean train,Q Predictions Max,Z mean eval,Policy mu Max,Q Predictions Std,Policy log std Max,Log Pis Min,Q Predictions Min,Number of env steps total,(Previous) Eval Time (s),RF Loss,Total Train Time (s),Log Pis Mean,Policy log std Mean,Policy log std Std,Log Pis Max,Number of rollouts total,R Predictions Mean,Train Time (s),Policy mu Mean,V Predictions Std,AverageReturn_all_train_tasks,Number of train steps total,Sample Time (s)
482.732,26,450.952,193.9424591064453,0.00465309,0.870663,165.996527698,19.39424705505371,-3.03641,-37.7035,0.0020029,1011.09,264.693,-484.236,-0.00580761,651.486,147.31306915799814,-4.29772,0.00171984,4.22287,0.00255787,0.780608,649.26,0.35864,6.62285,187.28,0.378196,-9.74416,-55.6884,188000,21.367780387000494,58.0933,4071.9278447969873,0.6138,-0.546987,0.346456,35.1106,11099,0.000405297,121.09694479100017,0.508357,157.203,179.64871504,54000,4.84834397999748
483.86,27,447.731,185.84872436523438,0.00432338,0.891357,148.962633659,18.58487319946289,-2.95469,-35.8663,0.00229355,912.921,323.092,-480.559,-0.00627082,697.894,148.85801935099607,-5.05878,0.00315467,4.95563,0.00178214,0.815837,697.327,0.389818,5.47721,195.332,0.0981364,-9.14329,-40.0079,192000,21.484624661000453,54.7475,4220.749070940985,0.984353,-0.574661,0.341622,35.6698,11157,-4.65008e-05,122.38826350799991,0.54075,163.522,162.439883788,56000,4.985131181995712
460.912,28,438.372,174.5050048828125,0.00462379,0.832133,169.668747526,17.45050048828125,-2.61658,-33.5509,0.00187016,878.657,319.402,-468.164,-0.00640973,652.101,148.8836427260021,-4.51089,0.00150853,4.2054,0.00268367,0.619895,657.673,0.271979,4.93731,181.259,0.30056,-7.54571,-71.1809,196000,21.44793155300067,38.0907,4369.238789425986,0.344191,-0.556724,0.311966,32.6249,11213,0.000594832,122.52276273100051,0.470456,158.386,164.854824315,58000,4.912948442000925
464.733,29,432.747,203.1719970703125,0.00453234,0.879435,177.909912868,20.31719970703125,-2.58382,-59.2746,0.00223336,1015.15,239.864,-468.531,-0.00654749,645.216,147.87207153500094,-4.62732,0.00113717,4.3503,0.00200386,0.974377,644.708,0.515222,4.63656,186.658,0.319867,-9.22653,-58.0034,200000,21.05498150099993,50.2432,4517.146812156987,0.571923,-0.562841,0.312213,32.0757,11270,0.000171459,122.04409900200062,0.457314,157.606,176.604779456,60000,4.772991032000391
465.035,30,448.777,215.415771484375,0.00451329,0.850607,180.13874234,21.54157829284668,-3.02444,-40.4337,0.00203078,1052.03,437.434,-473.162,-0.00697132,668.718,148.1076644220002,-5.17911,0.00132462,4.25208,0.000617595,0.884115,665.074,0.907691,5.44311,172.044,0.414879,-9.40925,-78.1483,204000,21.091142017000493,47.6729,4664.941969425989,0.299396,-0.52738,0.289316,33.9065,11330,0.000446881,122.00207577099991,0.466879,151.076,194.774188873,62000,5.014446633999796
451.513,31,420.34,181.4551239013672,0.00429418,0.867555,165.860720456,18.1455135345459,-3.20782,-46.0849,0.0021559,879.526,186.725,-452.455,-0.00689205,613.223,148.04086813200138,-4.33679,0.00245642,4.59148,0.00394661,0.272543,611.844,0.33901,5.24508,170.312,0.176932,-8.44183,-61.7384,208000,20.779152667000744,37.0896,4814.2240058839925,0.683063,-0.565924,0.312813,32.8454,11386,0.000224402,122.34700182299912,0.515258,141.718,169.131339239,64000,4.914713642001516
472.583,32,439.992,210.96336364746094,0.00492176,0.833529,191.600894049,21.096336364746094,-2.82454,-57.5527,0.00230982,718.03,266.042,-468.425,-0.00609751,632.369,148.43003691099784,-5.84999,0.00187641,4.19758,0.00115406,0.592449,613.895,0.835372,4.61938,166.849,0.151535,-10.5088,-58.6797,212000,22.020669486999395,60.5084,4962.629319187989,0.237862,-0.547305,0.297504,32.8631,11442,0.000143612,121.54528277600002,0.451036,138.354,188.401754911,66000,4.864084647998425
445.114,33,421.372,184.4909210205078,0.00436977,0.792576,181.302912992,18.449092864990234,-2.86983,-45.1811,0.00206613,923.446,258.958,-444.354,-0.00637921,614.962,148.6452338679983,-4.57424,0.00131426,3.95018,0.00231903,0.829041,617.678,0.566722,5.08174,166.609,0.274463,-9.32065,-70.8604,216000,21.99689275199944,55.1205,5110.753658744985,0.288877,-0.544186,0.314274,35.555,11500,0.00030784,121.52334586300003,0.541261,145.339,172.558310668,68000,5.124995252998815
453.092,34,429.118,182.79827880859375,0.00458882,0.862417,193.226659114,18.279829025268555,-2.6302,-61.7753,0.00208496,801.4,180.509,-455.232,-0.00657968,619.487,147.62791386599747,-4.35397,0.00307757,4.30106,0.00389667,1.21869,630.313,0.684756,5.8604,169.57,0.370505,-8.77155,-106.567,220000,21.476326677000543,55.3321,5257.978030848986,0.338761,-0.534219,0.296642,32.7046,11558,0.000286935,121.31368186500004,0.441622,144.14,177.434245382,70000,4.8379053239968925
457.757,35,431.232,190.3068389892578,0.00491036,0.825721,167.904933311,19.030683517456055,-2.65066,-70.8475,0.00202799,882.931,231.143,-458.13,-0.00613665,592.829,148.24262284099677,-5.40979,0.00150443,4.04265,0.00107738,0.60464,601.133,0.502399,4.28524,174.03,0.134323,-9.69715,-66.4965,224000,21.0733055089986,37.8079,5405.989588767983,0.358976,-0.566041,0.299861,31.3831,11617,0.000437343,122.3204653619996,0.476475,145.87,180.162819139,72000,4.848851969998577
