Epoch,VF Loss,Sample Time (s),Q Predictions Std,R Predictions Min,V Predictions Max,Z variance train,Policy mu Mean,Log Pis Max,Policy log std Min,V Predictions Mean,Log Pis Mean,AverageReturn_all_test_tasks,Total Train Time (s),Policy log std Max,Number of rollouts total,R Predictions Mean,Log Pis Std,Number of env steps total,Policy mu Max,Q Predictions Mean,R Predictions Max,Z mean eval,Policy log std Mean,KL Divergence,Z mean train,Policy log std Std,Z variance eval,Policy mu Min,R Predictions Std,Log Pis Min,Q Predictions Max,Q Predictions Min,V Predictions Std,KL Loss,(Previous) Eval Time (s),V Predictions Min,QF Loss,Number of train steps total,AverageReturn_all_train_tasks,Policy mu Std,Epoch Time (s),RF Loss,Policy Loss,Train Time (s)
21,12.0289,4.098933602000216,114.581,0.00551608,76.7751,0.682552,0.00313352,6.57688,-1.97018,-76.5422,-2.04408,-57.9687570239,3920.3506939929957,0.0830806,2760,0.00989186,2.11406,288000,2.32756,-83.9821,0.0161618,0.0940432,-0.397404,47.010128021240234,0.216132,0.229247,0.434624,-2.27504,0.00168877,-10.6807,71.5932,-750.381,112.752,4.701013088226318,40.15752500899998,-747.568,36.7486,44000,-54.8462077225,0.616087,167.84455932700075,61.7338,75.0933,123.58810071600055
22,9.64244,4.200363811999523,179.544,0.00530687,74.5373,0.440119,-0.0145755,18.477,-1.91396,-111.746,-2.14148,-58.9431941415,4088.028701202995,0.0890166,2840,0.00967095,2.23236,292000,2.45079,-118.023,0.0149524,0.0621807,-0.392323,49.17561340332031,0.294556,0.226297,0.566427,-6.19309,0.00150555,-8.35863,71.3185,-984.078,178.592,4.9175615310668945,40.11065504099952,-982.044,32.9912,46000,-56.0060849798,0.621198,168.06835099199907,56.0243,111.513,123.75733213900003
23,8.83766,4.005589286000031,155.801,0.00425956,73.7802,0.776866,0.0110146,8.4329,-2.04155,-99.5548,-2.11474,-66.4874757008,4255.399645020997,0.118321,2920,0.00984741,2.14681,296000,2.71914,-106.648,0.0155024,0.117671,-0.395521,48.58943557739258,0.963091,0.215614,0.942619,-2.11274,0.00166632,-7.78394,70.3681,-1065.2,154.373,4.858943462371826,39.72057600300013,-1063.78,31.8703,48000,-57.9596723482,0.614173,166.44482685800085,48.7275,99.9771,122.71866156900069
24,12.4062,4.055763278998711,182.664,0.00551094,69.9185,0.894744,0.0183268,7.63968,-1.86562,-105.707,-2.09464,-54.5769423562,4423.873051665995,0.0593962,3000,0.00974031,2.15747,300000,2.47037,-110.473,0.014353,0.137043,-0.400576,108.93202209472656,0.536043,0.218776,0.612956,-2.42936,0.00161165,-8.38026,67.8873,-1041.1,182.216,10.893202781677246,40.647547468000084,-1035.56,35.3002,50000,-51.3555169599,0.604458,168.84294694799883,54.3212,104.218,124.13963620100003
25,15.47,4.0458489900011045,148.147,0.00503983,94.729,0.987674,0.00792466,7.77502,-1.98805,-81.0567,-2.17801,-53.0898409594,4591.887075012998,0.127011,3080,0.00989307,2.1464,304000,2.7236,-88.2537,0.0149656,0.136544,-0.397701,110.05045318603516,0.354126,0.229772,0.458512,-2.29825,0.00167047,-9.87276,90.9032,-1063.42,146.008,11.005045890808105,40.27801403400008,-1050.62,34.8821,52000,-48.6598052085,0.599871,168.10212892600157,57.2753,83.0147,123.77826590200038
26,10.1276,4.088358567000796,195.674,0.00485118,95.2584,0.360137,-0.0227044,12.4722,-2.04603,-152.324,-1.73546,-56.9850839575,4760.143852202998,0.185686,3160,0.00985837,2.32327,308000,2.3903,-159.516,0.0142772,0.145312,-0.418484,69.97203063964844,0.473372,0.239971,0.504224,-3.20876,0.0016207,-9.00261,93.3241,-1150.6,195.147,6.997203350067139,40.190402416000325,-1144.43,37.3822,54000,-53.0815239242,0.65924,167.96789479000108,67.8932,151.678,123.68913380699996
27,12.2553,4.205516097998952,216.306,0.00571052,72.1421,0.801284,1.74925e-05,10.2039,-2.05458,-167.95,-1.75347,-92.3247486699,4927.973447120996,0.133101,3240,0.009896,2.49675,312000,2.3721,-175.977,0.0149833,0.184212,-0.424288,56.97527313232422,0.985614,0.245856,0.621442,-2.46102,0.00162631,-11.7724,68.0275,-1188.01,215.111,5.6975274085998535,40.479654179000136,-1178.85,38.4373,56000,-87.02581683,0.674667,168.28464630299914,88.4506,168.649,123.59947602600005
28,12.4356,4.218769789998987,90.3825,0.00520747,67.6908,0.537878,0.0457588,7.65574,-1.73128,-22.165,-2.74078,-58.7372068401,5095.680187965994,0.152082,3320,0.00968064,1.71516,316000,2.22859,-27.9957,0.0148108,0.0991822,-0.36482,31.949085235595703,0.365931,0.19267,0.573519,-2.07351,0.00164678,-10.9082,64.9767,-604.552,89.2044,3.194908618927002,40.025175957999636,-595.202,28.0205,58000,-53.2705010016,0.503328,167.74508961099855,20.8437,22.8361,123.50114386299992
29,10.6488,4.069216677998156,164.214,0.00502378,79.2523,0.613382,0.00658276,7.7839,-2.06234,-124.448,-1.85092,-50.1005978469,5264.1824971209935,0.107547,3400,0.00968189,2.3011,320000,2.36866,-131.154,0.0154367,0.117566,-0.423579,52.859519958496094,0.1378,0.250324,0.502506,-2.37586,0.0017095,-9.87061,76.7863,-1061.81,163.994,5.285952091217041,39.987416298000426,-1065.22,35.3544,60000,-46.8843453843,0.651763,168.46112874999835,55.3784,123.923,124.40449577399977
30,7.04066,4.0787085559986735,118.421,0.00478537,76.6407,0.755294,0.000749422,7.32088,-1.97316,-33.4937,-2.32535,-55.0177784212,5432.783619544993,0.109834,3480,0.00940824,2.08458,324000,2.69173,-39.238,0.0143375,0.0679921,-0.395019,48.06220245361328,0.399297,0.220434,0.438684,-2.21969,0.00164492,-10.1489,73.8796,-738.693,117.336,4.806220531463623,40.029210179000074,-736.925,26.1872,62000,-52.8916154964,0.56702,168.61669276299926,33.3337,32.8431,124.50877402800052
31,8.95764,4.24735242800034,145.925,0.00527385,78.0949,0.383131,-0.00723512,13.1989,-2.19895,-101.554,-1.85613,-58.4354655449,5601.406497231995,0.166813,3560,0.00978563,2.23776,328000,2.70563,-109.119,0.0142897,0.0838574,-0.428888,44.58354187011719,0.281383,0.242875,0.585155,-2.6568,0.00157923,-9.30299,75.0738,-1157.77,143.425,4.458354473114014,40.01372970000011,-1139.04,30.0072,64000,-50.5184644306,0.651673,167.99721723400035,35.9791,102.043,123.73613510599989
32,10.1712,4.048083223998219,190.919,0.00520695,92.5289,0.580946,-0.0104565,13.0789,-2.09104,-110.372,-2.00974,-59.9471681431,5769.924879485995,0.0766439,3640,0.00967755,2.21961,332000,3.02998,-117.126,0.014763,0.107011,-0.408436,49.37857437133789,0.0374649,0.235504,0.627811,-3.01948,0.00172207,-10.0318,90.7203,-1076.14,190.605,4.937857627868652,40.6399248280004,-1065.9,33.5105,66000,-50.2856071198,0.626249,168.68788497199876,46.7859,110.304,123.99987692000013
