Policy log std Std,Z mean eval,Policy mu Max,QF Loss,AverageReturn_all_train_tasks,Policy mu Std,R Predictions Min,Policy mu Min,AverageReturn_all_test_tasks,RF Loss,Q Predictions Min,Train Time (s),Log Pis Max,V Predictions Max,Log Pis Mean,V Predictions Mean,Policy log std Min,V Predictions Min,Policy log std Mean,Number of env steps total,Policy Loss,Policy mu Mean,(Previous) Eval Time (s),KL Loss,Total Train Time (s),Number of rollouts total,Epoch Time (s),Epoch,Log Pis Std,Q Predictions Std,Q Predictions Max,Sample Time (s),Policy log std Max,Z variance train,Z mean train,Log Pis Min,Z variance eval,R Predictions Std,R Predictions Max,Q Predictions Mean,R Predictions Mean,V Predictions Std,KL Divergence,Number of train steps total,VF Loss
0.238836,5.77141,6.39781,3824.24,606.025334093,1.02468,-0.151371,-5.285,608.114376704,564.408,5.25328,372.48963037299836,59.3471,3123.45,1.78638,1842.22,-2.00003,17.9295,-0.478104,560000,-1841.52,0.232614,72.86254026999814,11.838178634643555,40911.08154520498,20573,452.71133019196714,89,9.76451,909.453,3110.33,7.359159548970638,0.249249,0.225217,1.64028,-17.8854,0.0253853,0.0399266,0.324536,1792.01,0.0321871,894.574,118.38178253173828,360000,1483.44
0.221737,0.933916,6.37536,6238.18,656.383933734,1.10603,-0.0524335,-5.60022,681.433424236,578.089,-13.7964,371.4575133010003,57.0108,3586.99,3.53453,1853.95,-2.08894,11.7468,-0.487203,564000,-1842.58,0.25855,71.43729150499712,30.684621810913086,41361.042512526,20685,450.1084753130199,90,9.78066,961.374,3425.12,7.213670507022471,0.0874903,0.0510541,1.10039,-15.1871,0.111896,0.0368412,0.351031,1789.94,0.0317718,959.263,306.8462219238281,364000,2594.33
0.232777,1.4875,5.59518,4518.99,360.156575839,1.00146,-0.0851523,-6.97494,297.354485653,564.513,2.33082,373.4430327220034,64.9305,3846.06,1.06212,1633.0,-2.61182,24.9853,-0.445588,568000,-1623.71,0.245159,71.29069410399825,63.59977340698242,41808.231726444,20941,452.2069398209933,91,9.3553,896.26,4037.19,7.473212994991627,0.30456,0.0619712,1.51898,-16.2637,0.0273807,0.0392332,0.363809,1584.49,0.0336537,892.225,635.9977416992188,368000,2001.64
0.254434,0.275423,5.99492,20986.9,458.397958657,1.43521,-0.0405753,-6.48066,415.845578449,588.324,-29.4598,371.3671477149983,68.3541,4189.81,11.6778,2337.94,-2.44039,-6.5458,-0.560284,572000,-2329.9,0.143325,66.27375983000093,12.634964942932129,42254.986726159,21119,444.9614135419906,92,11.1615,1171.74,4193.63,7.320505996991415,0.088088,0.0439543,0.4868,-16.358,0.00763168,0.0403134,0.337049,2197.8,0.034303,1200.36,126.34964752197266,372000,6524.83
0.285438,2.07739,5.31299,9818.38,952.0480432,1.13388,-0.0847675,-7.20544,940.511079124,563.876,-6.79231,370.9090942729963,72.056,4167.74,4.53263,2384.19,-1.96462,6.07517,-0.558471,576000,-2381.35,0.136811,68.06812148500467,13.794489860534668,42697.774673376996,21216,446.40830053700483,93,10.2127,1336.11,4144.06,7.431084779003868,0.163697,0.00697718,0.511869,-15.102,0.0113195,0.0424354,0.38809,2311.14,0.0353881,1321.47,137.9449005126953,376000,3504.97
0.273152,0.650275,5.64822,12733.4,960.030516513,1.1217,-0.0984413,-7.73426,963.744431769,559.851,9.74681,372.96009333799884,74.7808,4338.16,4.03604,2307.53,-2.77957,4.25741,-0.533226,580000,-2322.72,0.159662,64.44919218499854,26.281024932861328,43140.61491811901,21300,444.70479094800976,94,10.5289,1323.19,4339.7,7.295505425012379,0.483045,0.0138001,2.20447,-17.8063,0.0170458,0.0418826,0.388077,2268.66,0.0329748,1310.61,262.81024169921875,380000,3205.15
0.27071,1.35363,6.84183,7456.2,530.613580343,1.15152,-0.0578169,-7.37115,579.949457237,572.436,6.01251,371.551807404001,67.6826,4627.42,4.76434,2277.67,-2.71654,4.25778,-0.534831,584000,-2276.38,0.200537,62.585467475997575,53.8675651550293,43590.88196342502,21410,441.45309947701026,95,11.7734,1263.59,4508.32,7.3158245970116695,0.171484,0.0148667,1.11056,-13.9228,0.0199005,0.0361331,0.346691,2199.6,0.0295056,1239.77,538.6756591796875,384000,2859.54
0.234159,2.7657,6.63126,25689.3,855.939119437,1.14226,-0.0681608,-6.57621,898.204720215,564.342,-25.4202,370.7270659269998,73.5381,3874.03,4.12858,1869.35,-2.50456,-78.6807,-0.470322,588000,-1908.15,0.219369,71.40051206300268,26.467954635620117,44036.22866976802,21505,449.4395307220111,96,9.96462,1097.09,3850.66,7.311952732008649,0.10431,0.0203606,1.87933,-15.9123,0.0124232,0.0406453,0.379794,1876.44,0.0317098,1100.63,264.6795349121094,388000,13839.6
0.249467,1.58238,6.18434,9015.33,749.501206895,1.11772,-0.127752,-7.13773,753.309692249,609.212,-9.32831,371.310553344003,71.6903,6192.04,3.5319,1967.77,-2.44485,-1.33486,-0.478514,592000,-1953.0,0.190298,67.30914189800387,190.1131591796875,44484.897344628036,21599,445.98016436601756,97,10.2978,1288.98,6138.19,7.360469124010706,0.26931,0.0354965,1.07041,-16.2627,0.0256964,0.0391628,0.364485,1907.44,0.0313427,1279.47,1901.131591796875,392000,3417.12
0.253264,9.05302,6.75607,7199.18,629.407897936,1.14298,-0.0760694,-6.13651,398.471953309,563.26,9.29353,372.2117574330041,76.3353,5979.6,4.22193,2181.05,-2.19094,11.5573,-0.498208,596000,-2190.97,0.194991,69.99890267199953,172.01974487304688,44931.74898877105,21766,449.1822242350099,98,11.7125,1380.44,5687.16,6.9715641300063,0.227084,0.0415127,0.547657,-14.8792,0.0141587,0.04196,0.335087,2125.03,0.0324597,1392.03,1720.1973876953125,396000,4604.12
