Q Predictions Min,V Predictions Max,Log Pis Max,Policy log std Std,Log Pis Mean,Log Pis Min,V Predictions Min,Z mean train,V Predictions Std,Q Predictions Max,Log Pis Std,Number of rollouts total,R Predictions Std,VF Loss,KL Divergence,Q Predictions Std,QF Loss,Number of train steps total,Policy Loss,Policy mu Mean,(Previous) Eval Time (s),Z variance eval,Sample Time (s),Total Train Time (s),Train Time (s),R Predictions Max,Epoch,R Predictions Mean,R Predictions Min,Policy mu Std,Q Predictions Mean,Z variance train,AverageReturn_all_test_tasks,RF Loss,V Predictions Mean,Policy mu Min,Policy log std Mean,Policy mu Max,Policy log std Max,KL Loss,AverageReturn_all_train_tasks,Epoch Time (s),Policy log std Min,Z mean eval,Number of env steps total
-4025.82,-21.0639,8.57405,0.157651,-1.39709,-10.4891,-4041.37,0.37956,498.082,-40.0885,2.54776,6400,0.00173136,282.358,62.968162536621094,497.871,2276.9,27000,925.48,-0.010651,33.36439645476639,0.143763,7.141057191416621,1875.6399782504886,23.065360301174223,0.00360333,26,-0.00135699,-0.00587815,0.752916,-936.057,0.706778,-508.344209157,441.746,-931.308,-2.55279,-0.559231,2.66745,-0.0860648,314.8408203125,-442.3468714,63.57081394735724,-1.13839,0.457465,470000
-4118.9,-7.31866,15.0968,0.149489,-1.53661,-14.7209,-4064.44,0.493307,528.833,-5.28525,2.46106,6600,0.00170571,301.207,61.69877243041992,528.435,2395.53,28000,883.06,0.0214813,33.40173989254981,0.156002,7.127233902923763,1938.8893009759486,22.873086908832192,0.00429732,27,-0.00129693,-0.00641823,0.713134,-894.858,0.688592,-503.782500444,445.14,-889.156,-2.76953,-0.59057,2.46538,-0.153621,308.4938659667969,-411.461756298,63.40206070430577,-1.16976,0.387725,480000
-3546.38,-28.8772,8.22003,0.141457,-1.5621,-10.2859,-3525.26,0.404029,478.975,-21.2264,2.39379,6800,0.00168803,312.13,65.1792984008789,480.209,2612.48,29000,1033.52,0.0168636,33.24893467314541,0.157181,7.140914867632091,2002.0809829970822,22.743417440913618,0.00388679,28,-0.001413,-0.00714307,0.70763,-1044.02,0.610161,-498.938144678,483.203,-1041.93,-2.55797,-0.590642,2.38785,-0.100355,325.896484375,-419.047687461,63.13326698169112,-1.17475,0.663681,490000
-3322.46,-57.6088,14.6827,0.163239,-1.52363,-11.1785,-3328.33,0.423677,618.354,-59.961,2.39352,7000,0.00176022,250.003,70.2588882446289,620.617,2873.06,30000,862.651,-0.0361832,33.307332560420036,0.145169,7.1236749570816755,2065.7211247263476,23.161237475462258,0.00414613,29,-0.00159515,-0.00593111,0.687738,-872.788,0.740333,-467.222835403,382.288,-865.632,-2.66426,-0.606089,2.36398,-0.0471146,351.29443359375,-419.809938091,63.59224499296397,-1.13156,0.414098,500000
-3384.82,-60.434,8.56277,0.153461,-1.45695,-9.15943,-3379.93,0.333922,516.606,-71.0298,2.46345,7200,0.00169292,279.111,63.67667007446289,516.777,2386.61,31000,953.678,-0.0127384,33.35482050757855,0.140781,7.154818578623235,2129.2232364770025,23.112509114667773,0.00360668,30,-0.0014205,-0.00774768,0.722218,-961.846,0.681704,-496.645489822,411.058,-955.225,-2.95281,-0.603984,2.60314,-0.108151,318.38336181640625,-412.314308575,63.62214820086956,-1.24484,0.611987,510000
-4249.03,-2.79395,10.7673,0.141367,-1.50688,-11.1895,-4249.42,0.245873,508.436,-5.2792,2.47107,7400,0.00185943,254.312,62.27774429321289,508.907,2423.64,32000,940.834,0.0438492,33.234880071133375,0.153702,7.116898445412517,2192.615758696571,22.995573801919818,0.00439546,31,-0.00178337,-0.00674254,0.709992,-948.763,0.623139,-494.062506671,401.903,-944.501,-2.65243,-0.60135,2.46561,-0.111286,311.38873291015625,-444.238184417,63.34735231846571,-1.14651,0.420184,520000
-3836.89,-30.3977,10.0967,0.148882,-1.2438,-12.4469,-3872.24,0.23281,519.261,-44.7757,2.4172,7600,0.00175608,334.027,62.81328201293945,518.49,3193.3,33000,927.428,0.0174007,33.280184547416866,0.160624,7.161343821324408,2256.3760470598936,23.109210790134966,0.00479582,32,-0.00169963,-0.00597674,0.728397,-935.718,0.598127,-511.744683876,349.184,-931.696,-2.71845,-0.608003,2.48645,-0.146373,314.06640625,-406.394586503,63.55073915887624,-1.14735,0.311409,530000
-5851.51,-38.1953,8.90569,0.153428,-1.63204,-10.8331,-5805.92,0.217117,516.453,-58.4888,2.32812,7800,0.00155947,226.868,64.09034729003906,518.096,2085.18,34000,821.745,0.00464592,33.48971386440098,0.146578,7.210602932609618,2319.992474592291,23.065539591945708,0.00530675,33,-0.00149515,-0.00597523,0.661732,-826.691,0.603863,-503.778143295,334.765,-820.337,-2.72678,-0.651193,2.20021,-0.1461,320.45172119140625,-426.682549751,63.76585638895631,-1.15045,0.434679,540000
-3725.24,-45.0964,10.0292,0.149498,-1.63666,-11.3193,-3757.39,0.178902,502.611,-50.8117,2.36346,8000,0.00181074,308.382,63.70994567871094,503.66,2980.46,35000,866.203,0.0112692,33.340422353707254,0.147379,7.1598925506696105,2383.835223971866,23.178485420532525,0.0039432,34,-0.00152342,-0.00690102,0.682052,-868.732,0.561828,-505.81466298,374.852,-865.701,-2.31002,-0.620495,2.57282,-0.11111,318.54974365234375,-424.435994494,63.67880032490939,-1.15124,0.338662,550000
-4815.73,-7.17687,11.1765,0.143979,-1.42347,-11.3299,-4843.07,0.386191,548.137,-7.52785,2.511,8200,0.00165746,291.67,70.0896224975586,547.531,2634.24,36000,939.763,-0.0828625,33.50448202248663,0.153417,7.201916272751987,2447.980902331881,23.045570071786642,0.00448233,35,-0.00149326,-0.00712986,0.7106,-939.072,0.584706,-499.226386836,385.36,-933.053,-2.57436,-0.615054,2.62916,-0.119744,350.4481201171875,-429.952008523,63.751968367025256,-1.17329,0.407534,560000
