Itr,train-MinReturn,LossAfter,train-MaxReturn,Time-SampleProc,ItrTime,LossBefore,Time-Optimization,train-EnvExecTime,train-StdReturn,Time-Sampling,train-AverageDiscountedReturn,Time,train-NumTrajs,train-AveragePolicyStd,train-PolicyExecTime,train-AverageReturn,n_timesteps
805,82.22466045228863,-0.01960957,675.8598127138243,11.081942796707153,31.86345601081848,0.0012056039,4.314950942993164,15.10847806930542,91.56342648530489,16.456769466400146,212.00334934244708,25456.23444867134,645,0.61658555,0.8924729824066162,289.9494610710003,32240000
806,77.12057583575944,-0.019630834,706.7271419686975,12.57698130607605,33.22208547592163,0.0006136609,4.342945575714111,14.937263488769531,83.76358940456846,16.292327642440796,209.43004236088652,25489.463423728943,660,0.61656505,0.9002742767333984,283.92900100835357,32280000
807,87.53249988525499,-0.019681688,640.4298447351987,11.11229920387268,31.855863571166992,0.00011039496,4.336967945098877,15.049368858337402,90.70344136112841,16.396756410598755,209.5737981679265,25521.325721740723,653,0.6164835,0.894066333770752,285.42859380540875,32320000
808,92.76055210413459,-0.019726472,627.293034849894,11.010712623596191,31.705997467041016,-7.059792e-05,4.329574108123779,15.010939359664917,89.17271309342009,16.35590124130249,212.17446550433053,25553.038118600845,650,0.6158109,0.8943517208099365,289.5048664653768,32360000
809,77.47070485225146,-0.019853795,611.6616309866918,12.611001968383789,33.04882335662842,0.0008217016,4.313318490982056,14.771817922592163,85.85048416380444,16.114649772644043,205.67208512600925,25586.093519210815,674,0.61527467,0.8922927379608154,277.69393990116265,32400000
810,87.2619555244153,-0.019965602,654.780749856382,11.270281314849854,31.939226388931274,-3.410604e-05,4.346094846725464,14.957077264785767,92.06091333407652,16.313064575195312,209.9901169547965,25618.039548397064,655,0.614617,0.8986079692840576,286.3578013251798,32440000
811,85.0732271175086,-0.019426145,676.0871507306307,11.173368215560913,32.0354483127594,2.9685718e-05,4.369083642959595,15.138870239257812,90.52527858529925,16.48312258720398,208.6469712778594,25650.081674814224,662,0.61403143,0.8945658206939697,283.3349618755393,32480000
812,90.94934023247838,-0.018998941,729.1077458425926,12.442582368850708,33.0773708820343,7.257044e-05,4.315720081329346,14.958576679229736,90.84876130400662,16.309306621551514,211.21521615577714,25683.165657281876,649,0.6135437,0.8972442150115967,288.32537900633895,32520000
813,78.45950287344202,-0.019565351,604.0933060952539,11.255877494812012,31.640820026397705,0.0003700899,4.300127983093262,14.738111019134521,88.08607147479782,16.074939727783203,207.0455576930965,25714.81298828125,673,0.6132983,0.8856644630432129,280.21020874207983,32560000
814,80.27238254438711,-0.019932212,654.0445909632031,12.538499593734741,33.162179470062256,-0.00010990681,4.323544979095459,14.948068141937256,89.43443126502753,16.290258646011353,206.27552241507365,25747.98225402832,666,0.6129533,0.8904337882995605,279.57702047486373,32600000
