Total Train Time (s),Q Predictions Min,Q Predictions Mean,Number of rollouts total,VF Loss,Z mean eval,KL Divergence,R Predictions Std,QF Loss,V Predictions Max,Policy mu Max,Policy mu Mean,Train Time (s),Log Pis Mean,Number of env steps total,KL Loss,Epoch Time (s),Policy log std Mean,Log Pis Min,Policy Loss,Z mean train,V Predictions Std,Policy log std Std,V Predictions Min,RF Loss,Sample Time (s),Z variance train,Policy mu Min,Q Predictions Std,Log Pis Std,R Predictions Min,R Predictions Mean,(Previous) Eval Time (s),R Predictions Max,V Predictions Mean,Z variance eval,Epoch,Policy log std Min,Policy log std Max,Policy mu Std,Q Predictions Max,Number of train steps total,AverageReturn_all_test_tasks,AverageReturn_all_train_tasks,Log Pis Max
1497.6007745973766,-3296.84,-808.24,5200,145.64,0.220691,65.0660629272461,0.00163667,1622.87,-130.387,2.50155,0.000947348,23.01341526489705,-1.44087,410000,325.330322265625,64.56199544854462,-0.541728,-11.1253,797.508,0.583857,446.508,0.173869,-3281.01,444.256,7.368413034826517,0.55349,-2.28912,447.854,2.54228,-0.00843089,-0.00388136,34.180167148821056,0.000516391,-797.706,0.129863,20,-1.24876,-0.100583,0.74389,-125.376,21000,-444.886118782,-499.172423924,12.0117
1561.620708442293,-3469.07,-732.221,5400,165.537,0.383789,61.01171875,0.00172597,1759.91,-116.53,2.2564,-0.0703326,22.988563667982817,-1.68823,420000,305.05859375,63.61199955176562,-0.569456,-11.6538,727.852,0.572264,397.061,0.16968,-3491.12,403.193,7.154939864762127,0.526666,-2.50954,397.321,2.41372,-0.00995808,-0.00348169,33.46849601902068,0.00154516,-729.828,0.135436,21,-1.24301,-0.118553,0.693775,-115.448,22000,-452.793171782,-511.05028206,8.9392
1626.5444080764428,-2898.88,-776.163,5600,212.431,0.243889,64.99078369140625,0.00149416,1600.13,-140.731,2.49076,-0.0542908,23.156399769708514,-1.36783,430000,324.95391845703125,64.24425948597491,-0.576119,-10.587,770.381,0.372131,376.037,0.166356,-2875.27,386.716,7.211823735386133,0.534079,-2.57644,377.393,2.56955,-0.00901102,-0.00367714,33.87603598088026,0.000990514,-764.983,0.145574,22,-1.24506,-0.0999763,0.736069,-134.976,23000,-451.250732098,-525.6346338,10.1273
1691.831520376727,-3679.53,-889.371,5800,273.303,0.250878,63.09813690185547,0.00169675,1797.32,-98.1587,2.66293,0.00280031,23.30308826174587,-1.30728,440000,315.4906921386719,65.24702226836234,-0.54365,-12.346,882.252,0.334177,402.694,0.157754,-3659.91,423.583,7.388422135263681,0.563905,-2.39734,405.274,2.58929,-0.00947122,-0.0036432,34.55551187135279,0.000728783,-873.956,0.145355,23,-1.17587,-0.0496179,0.75627,-92.8537,24000,-430.184920697,-518.725650388,14.0864
1755.7259306544438,-3687.93,-919.974,6000,256.717,0.198867,65.84718322753906,0.00176485,1910.29,-211.997,2.78725,0.0277621,22.965228844434023,-1.28994,450000,329.23590087890625,64.94326937198639,-0.572574,-12.0592,907.895,0.516925,450.902,0.162831,-3657.51,504.507,7.382311605848372,0.546715,-2.56437,454.217,2.63084,-0.0104431,-0.00394894,34.595728921703994,0.000777493,-913.877,0.152899,24,-1.18578,-0.09249,0.751056,-215.541,25000,-445.3439418,-495.402593132,11.1115
1819.561831845902,-3314.72,-716.954,6200,231.042,0.215867,69.33467102050781,0.00175164,1813.81,-89.4505,2.45967,-0.0592937,22.876054683700204,-1.36818,460000,346.67333984375,63.58456043805927,-0.623688,-9.34446,708.447,0.493747,455.643,0.168838,-3340.9,318.219,7.161563195288181,0.587631,-3.29763,455.507,2.44118,-0.00938789,-0.00344621,33.546942559070885,0.000336789,-713.36,0.136746,25,-1.23014,-0.0511994,0.707273,-83.6671,26000,-439.026492812,-514.12750069,10.3047
1883.7231864305213,-3813.12,-839.601,6400,201.423,0.357514,64.68961334228516,0.00157205,1951.71,-110.669,2.47932,-0.016553,23.020528769120574,-1.33064,470000,323.44805908203125,64.01729058753699,-0.589036,-9.72398,832.743,0.442209,518.969,0.155233,-3819.87,481.829,7.198288996703923,0.543399,-2.42471,517.664,2.50891,-0.00941336,-0.00349876,33.798472821712494,0.000621842,-832.749,0.132939,26,-1.19801,-0.0864133,0.739967,-122.639,27000,-445.6218028,-522.012307055,9.66923
1947.4762678723782,-4454.11,-914.71,6600,169.096,0.366368,65.68047332763672,0.00147338,2121.13,-115.419,3.12636,0.0442013,22.99956687539816,-1.3402,480000,328.4023742675781,64.12165954429656,-0.57677,-13.2434,905.827,0.374759,438.271,0.144864,-4431.57,470.867,7.179578724317253,0.52255,-2.44925,440.53,2.62266,-0.00694639,-0.00353546,33.94251394458115,0.000920282,-906.911,0.146628,27,-1.15049,-0.0628254,0.748245,-107.493,28000,-410.542888899,-480.39487521,12.8801
2011.2143370956182,-3015.82,-743.109,6800,162.715,0.342158,67.2396469116211,0.00153609,1868.47,-84.2923,2.63441,-0.0415341,23.094371447339654,-1.51189,490000,336.1982421875,63.917821779847145,-0.627841,-11.7456,738.662,0.402639,478.04,0.163237,-3032.52,329.645,7.249447247944772,0.614312,-2.81036,478.459,2.41981,-0.00903636,-0.00367731,33.57400308456272,0.00124155,-739.208,0.159266,28,-1.15505,-0.0335191,0.682934,-87.723,29000,-432.84949576,-475.0424095,10.6167
2074.9353468231857,-4464.07,-955.661,7000,195.045,0.209798,64.92818450927734,0.00163913,2086.64,-173.553,2.50395,-0.0729989,23.151146072894335,-1.27323,500000,324.64093017578125,63.69814036041498,-0.586414,-10.9993,948.933,0.266479,486.063,0.148686,-4455.86,469.248,7.152634234167635,0.614405,-2.82737,487.619,2.63274,-0.00998509,-0.0037787,33.39436005335301,0.000663868,-952.065,0.139998,29,-1.17486,-0.09424,0.739346,-157.076,30000,-416.144435134,-470.484788354,14.7945
