V Predictions Std,R Predictions Std,Policy mu Std,R Predictions Mean,Policy Loss,VF Loss,V Predictions Mean,Q Predictions Std,Number of train steps total,Policy log std Mean,AverageReturn_all_test_tasks,Policy log std Min,AverageReturn_all_train_tasks,Z variance train,Epoch,Epoch Time (s),Policy log std Max,Q Predictions Mean,Q Predictions Min,Q Predictions Max,Policy log std Std,Log Pis Std,Z mean train,Log Pis Mean,Train Time (s),Log Pis Max,Total Train Time (s),KL Divergence,Z mean eval,RF Loss,Policy mu Max,V Predictions Max,Log Pis Min,V Predictions Min,Number of env steps total,Number of rollouts total,Policy mu Min,R Predictions Max,Z variance eval,Sample Time (s),KL Loss,R Predictions Min,QF Loss,(Previous) Eval Time (s),Policy mu Mean
39.1508,0.00143313,0.452979,-0.00469157,-296.959,44.9901,295.836,47.8622,84000,-0.906402,174.537431701,-2.09104,201.736224749,0.103603,20,162.83283732099972,-0.4177,291.078,-41.7253,395.449,0.162079,2.55523,0.609424,-1.54747,152.38613414999963,19.9201,3398.862531691996,28.507946014404297,0.435156,15.494,3.71942,402.866,-9.88068,109.242,88000,774,-2.63325,0.000176225,0.0970882,6.221269372000279,2.850794553756714,-0.00855778,131.292,4.225433798999802,-0.0448414
34.4791,0.001486,0.44776,-0.00450337,-293.163,49.182,294.91,37.2014,88000,-0.87997,186.659538475,-1.93478,128.333793302,0.141562,21,160.78262042799997,-0.282456,289.8,11.9746,391.887,0.151556,2.13011,0.585993,-1.65653,150.35073462299988,12.9705,3559.6211496069964,25.629087448120117,0.651699,13.6294,2.16386,389.973,-9.66631,181.254,92000,802,-3.03703,-2.09077e-05,0.114306,6.213929415000166,2.562908887863159,-0.00874285,132.392,4.217956389999927,0.00760313
36.9805,0.00145957,0.43324,-0.00470958,-296.437,45.6297,298.042,41.7375,92000,-0.900571,213.007040127,-2.31546,160.492318973,0.15691,22,161.3996713159986,-0.450957,292.176,13.5452,395.276,0.161551,2.19067,0.595308,-1.64092,151.10211660000004,16.6408,3721.0305835029967,25.170982360839844,0.558542,13.4766,3.06388,389.875,-8.355,35.3681,96000,831,-2.24365,-0.000262077,0.106123,6.102966912998454,2.5170981884002686,-0.009031,148.581,4.194587803000104,-0.0145193
38.4547,0.00147566,0.438766,-0.00469759,-296.964,64.5014,293.62,47.8853,96000,-0.900318,184.486641796,-2.41283,221.474063913,0.117259,23,162.4227875589986,-0.240329,291.597,-68.0963,392.216,0.159571,2.2738,0.565529,-1.62347,152.06968975200016,14.9751,3883.879136509996,25.58272361755371,0.480823,12.9339,2.56596,381.654,-8.6721,131.314,100000,860,-2.45368,-5.12581e-05,0.131054,6.148235309998199,2.558272361755371,-0.00846771,152.489,4.204862497000249,-0.0281912
35.9746,0.00152446,0.439014,-0.00454993,-292.665,59.6024,295.177,38.0838,100000,-0.868649,184.764565033,-1.7987,219.507334403,0.150867,24,161.88241515899972,-0.467075,290.968,26.1456,379.473,0.141345,2.11745,0.561636,-1.80979,151.10434627999985,14.1442,4045.224508798996,22.970569610595703,0.721787,12.8717,1.80274,378.241,-8.69903,61.2754,104000,887,-3.01741,0.000154036,0.126907,6.147065686000133,2.2970569133758545,-0.00907749,129.753,4.631003192999742,-0.0118918
47.4171,0.00139872,0.441951,-0.00464908,-322.901,69.3433,320.001,53.5029,104000,-0.902189,210.806727491,-2.35177,197.161683748,0.131252,25,161.10151570999733,-0.44349,317.24,-51.6545,441.253,0.158849,2.45742,0.843517,-1.67482,150.8442840200005,20.6417,4206.433537154991,32.234474182128906,0.407114,16.4007,2.81305,441.565,-12.7477,73.9341,108000,917,-2.42499,-0.000682209,0.162793,6.162824018996616,3.223447561264038,-0.00936051,175.314,4.094407671000226,-0.0332962
38.8531,0.00133742,0.406086,-0.00470727,-297.499,47.8584,296.641,43.6385,108000,-0.911247,208.790263848,-1.95835,170.075409726,0.151476,26,161.96301749099894,-0.408466,293.842,-85.3542,384.907,0.143511,2.18861,0.424238,-1.73511,151.5727202850003,10.8241,4368.550437160992,22.268020629882812,0.619805,15.5687,2.00529,386.333,-10.2945,100.106,112000,943,-1.97139,-7.53305e-05,0.100618,6.187807107999106,2.226802110671997,-0.00770401,138.881,4.202490097999544,-0.0385941
42.2556,0.00161443,0.414543,-0.00462694,-316.929,55.848,319.0,45.6078,112000,-0.892461,184.771199001,-1.84658,199.860320758,0.143656,27,162.6867843659993,-0.411544,316.111,-11.1988,405.563,0.149194,2.06194,0.568274,-1.77249,152.0271375020002,7.593,4531.237662451989,30.010129928588867,0.507934,16.7953,2.18114,402.709,-9.09872,112.186,116000,970,-2.61097,0.0014873,0.132623,6.302062337998905,3.0010130405426025,-0.00948502,167.167,4.35758452600021,-0.0347014
43.3506,0.0013931,0.427789,-0.00477448,-308.223,45.4963,305.815,45.0931,116000,-0.881301,191.96993203,-2.33553,191.584417727,0.156621,28,161.66953004800325,-0.366666,303.956,13.9054,413.209,0.148957,2.11474,0.427517,-1.8076,151.23032976100058,11.2246,4692.879052063992,24.526121139526367,0.621271,13.6398,2.30642,408.779,-9.48164,-48.6114,120000,995,-1.9412,-0.000466686,0.162056,6.081338044002223,2.4526121616363525,-0.0102736,116.675,4.357862243000454,-0.00858494
45.3011,0.00140401,0.406901,-0.00474352,-312.123,39.3365,312.442,49.605,120000,-0.912925,206.761745764,-1.97556,239.401303338,0.164522,29,162.0203768470028,-0.498778,307.93,-15.1709,405.579,0.152876,2.06435,0.480319,-1.6307,151.44667739000033,9.98422,4855.042158468994,26.26549530029297,0.668665,12.034,1.81584,400.643,-10.7128,123.805,124000,1022,-2.35234,-0.00035739,0.128088,6.24321654400228,2.626549482345581,-0.00887758,128.56,4.330482913000196,-0.00840981
43.9156,0.00132916,0.41003,-0.00451114,-319.885,54.4154,322.02,46.1558,124000,-0.894658,201.131437196,-1.70813,245.892762412,0.193343,30,163.86727655399864,-0.363353,316.301,-7.85802,442.43,0.147674,2.06109,0.483313,-1.77283,153.07193421400007,11.5189,5019.033389145994,24.823389053344727,0.71951,13.8555,1.7431,448.733,-8.91755,172.805,128000,1047,-2.12905,-0.0003806,0.124047,6.32125213999916,2.4823389053344727,-0.00829371,259.059,4.474090199999409,-0.0123298
