Log Pis Mean,Policy log std Min,VF Loss,Z variance eval,KL Loss,RF Loss,Q Predictions Mean,R Predictions Mean,Number of train steps total,Policy mu Min,Z mean eval,V Predictions Min,AverageReturn_all_train_tasks,Policy mu Std,Number of rollouts total,Train Time (s),Q Predictions Max,Total Train Time (s),Policy log std Std,Q Predictions Std,R Predictions Std,V Predictions Max,Sample Time (s),Q Predictions Min,Z variance train,Policy log std Mean,Policy mu Max,Policy Loss,Log Pis Std,R Predictions Min,Epoch,Z mean train,Log Pis Max,Log Pis Min,Policy log std Max,V Predictions Std,Number of env steps total,AverageReturn_all_test_tasks,KL Divergence,Policy mu Mean,QF Loss,(Previous) Eval Time (s),Epoch Time (s),R Predictions Max,V Predictions Mean
-2.02656,-1.86211,37.584,0.121903,2.9186606407165527,17.7969,328.108,0.00141514,132000,-2.20838,0.6701,190.311,290.854928265,0.385348,1065,148.03902336400006,428.946,5204.800717452989,0.15023,47.1112,0.00173088,440.281,6.082055521000257,15.0843,0.13491,-0.873821,1.96807,-331.368,1.96036,-0.00338569,32,0.581824,8.68735,-9.95927,-0.418392,44.9035,136000,249.177510073,29.18660545349121,0.0065853,147.537,4.285235181000644,158.40631406600096,0.00615465,329.601
-1.9394,-2.0569,41.5188,0.160231,2.719717502593994,13.7668,328.768,0.00127587,136000,-2.12017,0.620268,150.485,171.83053477,0.386193,1092,147.48497841300014,440.111,5362.7476394059895,0.158855,49.4506,0.00180785,438.557,6.2152234269988185,-33.0291,0.113217,-0.887784,1.75949,-333.322,2.10996,-0.00356693,33,0.617977,14.725,-11.128,-0.426669,44.5776,140000,214.719309379,27.197174072265625,-0.00357701,131.235,4.124318502000278,157.82452034199923,0.00788036,336.279
-1.92515,-2.11805,40.3574,0.101466,2.791191816329956,14.8446,341.586,0.00137472,140000,-3.43735,0.668814,-13.2967,281.10581262,0.405898,1117,147.43461253999976,472.784,5520.8319922439905,0.169288,55.1247,0.00174634,461.407,6.070317278000402,-37.4606,0.119059,-0.866683,2.81783,-344.577,2.34666,-0.00323237,34,0.60024,17.2307,-9.13316,-0.349487,49.2654,144000,209.087992458,27.911916732788086,0.00974466,174.522,4.247250675000032,157.7521804930002,0.00597815,341.464
-1.8554,-2.05617,44.2616,0.0980455,3.3419854640960693,23.4405,351.46,0.00115627,144000,-2.27569,0.495532,168.172,218.421800391,0.399837,1143,147.44048902500072,476.387,5678.48232668499,0.174114,53.2686,0.00190534,471.408,6.0649417559998255,6.35138,0.0974968,-0.883549,2.11539,-356.525,2.20554,-0.00427791,35,0.777342,11.8893,-9.78003,-0.39525,48.4318,148000,242.429578391,33.41985321044922,-0.0149577,212.643,4.579875271999299,158.08530605299984,0.00642929,353.796
-2.31303,-2.36372,38.1544,0.112319,2.9009292125701904,16.6624,335.13,0.000635951,148000,-1.85707,0.625041,36.3443,241.144246817,0.390118,1174,147.97903491499983,441.54,5836.588085369993,0.156022,51.639,0.00181985,442.932,6.003161493001244,-51.3593,0.108084,-0.836471,2.58704,-340.335,2.12129,-0.00346201,36,0.61268,12.2294,-9.57468,-0.274093,43.2173,152000,226.999388123,29.009292602539062,-0.0406343,163.188,4.14575089400023,158.1279473020013,0.00601624,343.198
-1.84499,-2.23331,53.8025,0.1042,3.2548489570617676,24.1948,362.164,0.00130576,152000,-2.3337,0.589371,188.398,224.392626779,0.396133,1200,147.5280261580001,500.312,5994.467725409992,0.165434,58.1295,0.00180013,501.766,6.150251735998609,-15.6188,0.108854,-0.87655,2.07785,-366.021,2.13105,-0.00428372,37,0.627431,14.3662,-9.07377,-0.274548,52.0424,156000,176.698245695,32.54848861694336,-0.0200205,163.474,4.124369815000136,157.80264770899885,0.00618666,363.953
-2.02191,-2.33328,79.4982,0.114592,2.9765536785125732,22.6265,349.314,0.00135863,156000,-1.77897,0.487195,87.4871,209.000228138,0.397642,1226,146.7328379370001,460.166,6151.65836718499,0.170787,59.8686,0.00177567,478.038,6.08732873200006,-83.8586,0.128849,-0.867437,2.47941,-353.069,2.34769,-0.00434209,38,0.69067,14.1882,-12.1632,-0.252829,54.5991,160000,189.871165189,29.76553726196289,-0.0409953,187.366,4.201968690000285,157.02213535900046,0.00637496,359.056
-2.04737,-2.02733,38.6522,0.103921,2.6837713718414307,18.0237,354.001,0.00133523,160000,-1.92158,0.624851,82.6399,201.994254665,0.38165,1251,147.01215779799986,504.992,6309.33697419099,0.157087,62.9225,0.00172345,508.112,6.062629729000037,-27.5655,0.102987,-0.886774,2.52206,-356.095,2.07662,-0.00321293,39,0.61888,13.2652,-12.5678,-0.264383,60.1992,164000,202.34600697,26.83771324157715,-0.00853037,160.366,4.371228937000524,157.44601646400042,0.00677907,356.251
-2.01073,-1.93736,68.8365,0.117524,2.776540517807007,21.9754,360.016,0.00108568,164000,-3.60721,0.394984,189.718,269.027577375,0.393595,1276,148.8762354929986,466.275,6468.752609913992,0.161684,62.401,0.00187263,468.599,6.0993765570019605,-74.3082,0.172476,-0.873979,2.23509,-361.497,2.18146,-0.00461501,40,0.466754,17.0322,-9.99884,-0.33998,56.5618,168000,241.040449166,27.765403747558594,-0.041591,208.98,4.604341473001114,159.57995352300168,0.00753651,365.789
-1.6365,-1.84242,38.12,0.139865,3.488744020462036,28.6597,394.957,0.00202073,168000,-2.07363,0.570179,174.1,265.822889394,0.417206,1301,146.61953016199914,533.261,6625.9145516639965,0.168472,70.4028,0.00156843,529.912,6.2369968370021525,-1.81261,0.0901367,-0.919308,1.90043,-401.341,2.10355,-0.00170069,41,0.676967,11.8951,-8.39988,-0.301527,66.8473,172000,224.961718548,34.8874397277832,0.0270895,152.726,4.440776937999544,157.29730393700083,0.0061477,400.413
-2.17359,-2.13854,39.6981,0.132305,3.060473680496216,15.9901,365.535,0.000909116,172000,-1.97311,0.5496,170.68,133.984964066,0.386826,1327,147.31996663599966,528.074,6783.936863304996,0.157136,61.8465,0.00178262,508.938,6.22252990400375,69.6025,0.113925,-0.861906,2.03024,-371.573,2.14186,-0.00367286,42,0.627092,12.8255,-15.8758,-0.365016,58.6274,176000,251.550321261,30.604736328125,-0.058716,170.393,4.306034683999314,157.84853122400273,0.00619423,368.483
-1.7596,-2.12403,42.2474,0.128903,2.91719126701355,21.0553,386.019,0.00186123,176000,-2.21126,0.572872,57.5914,199.166151006,0.403031,1355,146.86391442100103,526.607,6941.199087708999,0.176967,70.5917,0.00168814,522.329,6.033744532998753,-66.0274,0.124047,-0.896877,2.13232,-392.12,2.17834,-0.0032071,43,0.589332,11.1246,-14.4449,-0.283036,66.4305,180000,192.597751435,29.171911239624023,0.0113838,158.07,4.4806854279995605,157.37834438199934,0.00741154,391.808
-2.0952,-2.03935,43.7596,0.14875,2.5700502395629883,12.2375,359.45,0.000966149,180000,-1.85563,0.575879,174.256,162.227175179,0.388179,1381,146.64752748599858,529.741,7098.610741870003,0.158787,69.7981,0.00170582,535.276,6.127208275003795,-60.4715,0.126634,-0.851968,2.15995,-363.273,2.0129,-0.00375269,44,0.611599,10.4291,-12.1502,-0.326887,67.6314,184000,200.912189262,25.700502395629883,-0.0381364,149.053,4.365236782001375,157.13997254300375,0.00651664,363.437
-2.01577,-2.12034,41.2855,0.126261,2.5765933990478516,19.2927,388.107,0.00154702,184000,-2.30898,0.650147,51.1064,190.446821211,0.388196,1406,147.3942915759999,527.65,7256.299922502001,0.163864,72.0178,0.00177072,532.391,5.990491837999798,29.0294,0.164293,-0.881188,2.11893,-393.696,2.04243,-0.00397374,45,0.55036,15.0796,-9.30017,-0.297689,69.4915,188000,299.502253742,25.765933990478516,-0.0119228,156.641,4.637493455000367,158.02227686900005,0.00567748,392.595
-1.80011,-1.99258,43.0715,0.123484,3.0439045429229736,22.6431,413.293,0.00197451,188000,-2.4943,0.540565,202.439,224.484256721,0.404834,1433,147.71797911800059,541.914,7414.7820455300025,0.168299,74.9846,0.00164005,545.989,6.247065888997895,43.4713,0.128499,-0.915716,2.46921,-419.495,2.10035,-0.0026188,46,0.626163,14.3455,-8.27879,-0.335092,71.9182,192000,287.840686341,30.439044952392578,-0.000519461,170.435,4.30513034499927,158.27017535199775,0.00627206,418.528
-1.97454,-2.14765,55.1833,0.169953,2.709421157836914,17.8728,385.184,0.00130832,192000,-1.77243,0.625853,76.0358,321.283809182,0.402259,1462,147.77728575900073,557.933,7572.974256425996,0.169631,81.6965,0.00180295,559.015,6.134693871998024,-9.3269,0.157781,-0.868948,1.87258,-389.718,2.14588,-0.00470842,47,0.515645,9.49034,-12.2124,-0.327578,80.2582,196000,245.300559773,27.09421157836914,0.0233642,165.174,4.518206259999715,158.43018589099847,0.00635152,390.677
-2.30533,-1.84619,31.1677,0.175003,2.8740813732147217,21.7032,369.513,0.000629545,196000,-2.08061,0.571726,125.149,240.017339699,0.3833,1487,147.33457505200022,481.174,7730.964588165996,0.155506,66.8845,0.00160635,481.839,6.079189013998985,-14.6755,0.135718,-0.841177,2.24644,-373.77,2.03544,-0.00325705,48,0.64796,10.8315,-11.7906,-0.321278,64.6648,200000,211.476441731,28.740812301635742,-0.030019,141.294,4.280663347000882,157.69442741300008,0.00500122,374.596
-1.97503,-2.20315,40.9373,0.172578,2.879122018814087,23.034,399.463,0.00135697,200000,-1.8716,0.528318,110.28,266.751185398,0.404779,1514,147.77375489599945,562.198,7889.296280288992,0.161898,79.5829,0.00174158,564.792,6.11002914099663,15.1971,0.116795,-0.867854,2.53606,-404.397,2.14173,-0.00291979,49,0.586699,14.343,-10.4215,-0.349181,76.8865,204000,330.409293091,28.79121971130371,0.0299351,170.741,4.5775014529990585,158.46128548999513,0.00666193,403.476
