Step_0-MinReturn,Step_1-PolicyExecTime,Step_0-NumTrajs,Step_1-StdReturn,Time,Time-MAMLSteps,Time-OuterStep,Step_1-MinForwardReturn,Step_1-MinReturn,Step_1-AverageDiscountedReturn,Time-Sampling,Step_1-StdForwardReturn,Step_0-MaxReturn,Step_0-StdReturn,Step_0-MaxForwardReturn,Step_0-AverageReturn,Step_1-AverageReturn,Step_1-AverageForwardReturn,Step_1-AveragePolicyStd,Time-InnerStep,Time-SampleProc,n_timesteps,Step_1-EnvExecTime,Step_1-NumTrajs,Step_0-StdForwardReturn,LossAfter,Step_0-AverageCtrlCost,Step_0-AverageDiscountedReturn,Step_0-MinForwardReturn,KLCoeffInner,ItrTime,LossBefore,Step_1-AverageCtrlCost,Step_0-PolicyExecTime,Step_1-MaxForwardReturn,Step_0-AverageForwardReturn,Time-TotalInner,Itr,Step_0-AveragePolicyStd,Step_0-EnvExecTime,KLInner,Step_1-MaxReturn
-308.120006824519,4.168980121612549,815,105.9546641451534,36019.22108459473,4.321251153945923,4.321106433868408,-0.20864713784631644,1.807549841982233,125.88241809250074,78.46960711479187,0.4811556972174254,393.62985593043504,126.51750377673257,1.7756732575812748,48.17255667313829,293.7139345190156,1.394145820168357,0.21804021,0.21069598197937012,2.1879284381866455,145280000,34.926780223846436,860,0.6473111643762428,0.0069256267,0.7119783357410341,20.71605330661564,-2.339848526946902,0.0005,85.30764651298523,8.378372e-09,0.8059932014255582,1.7014639377593994,2.5176505506952815,-0.0462730927916319,80.9646577835083,453,0.21805786,34.19012093544006,0.003434897,546.4194136224081
-246.83028394366767,4.136506795883179,811,119.9935426962246,36104.03373003006,4.317432403564453,4.317291021347046,-0.11524397122486166,7.881713901457847,125.22706188613957,77.99514079093933,0.4946158700271553,357.4709734085328,122.98558744183345,1.557668704446491,48.77620451670398,283.35526279436345,1.4632932560712497,0.21769701,0.21086335182189941,2.1687021255493164,145600000,34.678338050842285,919,0.625912890974051,0.024476567,0.7093877556353787,18.96949894060335,-1.7655534720286281,0.0005,84.81202912330627,8.8281416e-10,0.8302531095160891,1.3393776416778564,2.7527365648425826,-0.04469596454176871,80.47262215614319,454,0.21777356,34.33863878250122,0.0071751536,569.1335282634452
-278.98317341002695,4.048350811004639,813,122.45113357691235,36187.7421169281,4.31216835975647,4.3120245933532715,-0.49286283561198513,-39.42291377062958,129.50098139055862,76.92564487457275,0.5905047308265623,418.2466377581855,130.7549947339808,2.346360081496578,63.898580970768656,300.0879227644695,1.4097774373263263,0.21735105,0.2106921672821045,2.1411244869232178,145920000,33.903361082077026,853,0.6639462911683095,0.0037945309,0.7088361493348102,25.780493481152355,-1.5825209071576658,0.0005,83.70777344703674,-3.527226e-09,0.8045242078790252,1.333765983581543,2.656032962276798,0.036495585491606024,79.37379670143127,455,0.21741101,34.236613750457764,0.003818155,550.9432991962868
-314.78265637758483,4.140286922454834,812,128.98245548390784,36271.61711835861,4.296728610992432,4.296587228775024,-0.7329290682698365,-91.11646781378604,122.98233525834426,77.09748101234436,0.6165420701959805,367.4998138608599,133.16351898470728,1.8896720955824424,62.92442470441995,280.32012013242405,1.4048638508462563,0.21716467,0.2106616497039795,2.1441879272460938,146240000,34.697662591934204,902,0.671591470232923,0.017519098,0.713214465282429,25.64506480259645,-1.7920612920505194,0.0005,83.87426996231079,5.662122e-09,0.8175623426672078,1.3137691020965576,2.844528937720084,0.03532969329181764,79.54982686042786,456,0.21719779,33.48777651786804,0.006453545,554.85850657458
-282.2536683872816,4.128989219665527,815,125.25066416951441,36353.97689676285,4.326858758926392,4.326717853546143,-0.28247249148623715,-29.49902357668855,128.97658897761002,75.49466753005981,0.5395316315234703,353.88938016121904,135.33010794793185,2.040333818572599,75.34876307510666,290.9295312363635,1.5152120129789872,0.21700533,0.21051812171936035,2.203383684158325,146560000,34.43587136268616,924,0.6866239123230403,0.0028746375,0.7163759927223288,30.236613319243595,-2.1197700619281403,0.0005,82.35915517807007,8.598331e-09,0.8250890244914614,1.2593560218811035,2.820898277369057,0.10137720373051066,78.00774908065796,457,0.21701044,32.2410409450531,0.0033651062,567.4034834509035
-324.6061843835385,4.11337685585022,809,116.78221357029607,36436.541605472565,4.309767007827759,4.309622764587402,-0.014652715271684031,2.559312124263368,129.09829766378974,75.71745252609253,0.516078586372881,361.67582545929446,142.14266535134507,1.51353849060403,78.51000315478032,285.1967941469348,1.5239872779761783,0.21663809,0.2337665557861328,2.1810011863708496,146880000,34.45131540298462,925,0.7135661774648554,-0.003486005,0.7194019281016821,31.190369808161023,-1.8271104414427386,0.0005,82.56401538848877,8.0176574e-11,0.8479786461810854,1.268765926361084,2.973103038422234,0.11833090763426406,78.23049998283386,458,0.21669422,32.46664309501648,0.0015758006,535.8476007221111
-268.75301089987045,4.173539876937866,815,114.71738653646482,36523.90224170685,4.375170469284058,4.375027894973755,-0.17953479960104018,6.116061290562868,128.53826843076143,80.47484493255615,0.48976956341032196,372.4086147510204,138.60461463332766,2.146343563141819,37.9955984591271,300.7898789807518,1.519584396309856,0.21629821,0.21291875839233398,2.1752572059631348,147200000,34.806212186813354,899,0.714389771012808,-0.0011786919,0.7219754495058581,15.63426162701142,-1.581528148669851,0.0005,87.3600206375122,3.8565878e-10,0.8253626043313587,1.431732416152954,2.869582314026832,-0.0782554316840801,82.96060752868652,459,0.21632351,36.45962643623352,0.002377708,569.5145352180016
-296.38809891075454,3.979900360107422,810,130.44511998859477,36608.79205131531,4.352334976196289,4.352195978164673,-0.5396769257026486,-36.80475257402362,131.72681599535252,78.04272317886353,0.5606889528067842,330.3041638070634,138.68739423559532,1.585429588886018,91.3452473053749,293.9731117235502,1.5326118840479248,0.21585737,0.2098686695098877,2.1626181602478027,147520000,33.35041904449463,923,0.6972019311556327,0.0013509128,0.7195516669259262,35.83933581586452,-1.7058719440800303,0.0005,84.88917350769043,1.8229537e-09,0.8300602751818269,1.3970117568969727,2.619789828655163,0.1788887106132907,80.51309609413147,460,0.21588752,35.810620069503784,0.0032523703,561.7944257721268
-295.8395683486244,4.123910903930664,806,137.93727901004834,36694.541617393494,4.322360277175903,4.322234153747559,-1.305552538879775,-218.82354653522822,120.36741171880018,78.94713497161865,0.6355321984640794,371.87673707166175,143.86894863710765,1.638991666018511,62.40340204958698,268.69893588869394,1.4445630035455737,0.21537209,0.21074700355529785,2.146625280380249,147840000,34.442561626434326,944,0.7224338131010422,0.005087129,0.7180183867602715,24.81447152413923,-1.6847510650262325,0.0005,85.74896764755249,3.2553799e-10,0.8348474242228383,1.38804030418396,2.7692414984581752,0.033689881561425654,81.40222787857056,461,0.21541964,35.48232579231262,0.0031988074,545.5956639370935
-299.01100918150627,3.915555238723755,807,120.5024820061794,36776.56426167488,4.30268931388855,4.302545785903931,-0.1255110185675678,0.8139221358570609,128.65571006648986,75.22422385215759,0.516648209059651,353.748100294144,145.3657705978345,1.7739717013610388,44.49883275939109,291.0091359234496,1.4668953791042094,0.21490319,0.21145033836364746,2.1594204902648926,148160000,32.70748972892761,906,0.7352793993798682,0.014910982,0.7186346632968712,18.30301102783009,-1.6894844852871904,0.0005,82.02202773094177,-1.8576911e-09,0.8020859132309598,1.321293830871582,2.707297767678804,-0.051995552767751814,77.69221782684326,462,0.21494494,33.86057949066162,0.0057452186,551.9840984800685
