Itr,Step_0-MaxReturn,Step_1-MaxReturn,Step_0-AvgFinalForwardVel,Step_1-MinReturn,Time-OuterStep,Time,Step_0-NumTrajs,Step_0-EnvExecTime,Step_1-NumTrajs,Step_0-AvgForwardVel,LossAfter,Step_0-PolicyExecTime,Step_1-EnvExecTime,Time-InnerStep,n_timesteps,Step_0-AverageReturn,Time-SampleProc,Step_0-AvgCtrlCost,Step_1-StdReturn,Step_0-AverageDiscountedReturn,Step_1-AvgFinalForwardVel,LossBefore,Step_0-AveragePolicyStd,Step_0-StdReturn,Time-Sampling,Step_1-AveragePolicyStd,Step_0-MinReturn,Time-MAMLSteps,Step_1-AvgForwardVel,Step_1-AverageReturn,Time-TotalInner,KLCoeffInner,Step_1-AverageDiscountedReturn,Step_1-AvgCtrlCost,ItrTime,KLInner,Step_1-PolicyExecTime
730,827.8655189093926,894.4629820479252,-0.4644306237862296,-866.0634450633775,3.247056007385254,18996.1475918293,800,7.666440010070801,800,-0.39278766209640675,0.0014423708,0.8655893802642822,7.771481990814209,0.1679978370666504,233920000,-119.55694627830411,0.7659311294555664,0.049239470291819416,273.43467899074784,-45.39233987826701,4.040427293307896,2.8548761e-09,0.21507111,754.9309760264853,21.93724274635315,0.21508488,-910.024903093443,3.2472081184387207,3.645285145760763,683.414824452152,22.91917634010315,0.0005,255.56810151876795,0.04836434903535946,26.19074845314026,0.0012508851,3.2143561840057373
731,834.0826972071366,943.6042787774054,0.21026888241002936,-792.7339446068444,3.2723162174224854,19021.99105143547,800,7.6954967975616455,800,0.16774836070586643,0.0059236777,0.8763816356658936,7.723343133926392,0.16778874397277832,234240000,-7.324439310471153,0.7596702575683594,0.04947180411150928,337.0957623396806,-6.3003696854834565,3.9434316158445837,2.880767e-09,0.21481134,753.2626602062846,21.573734998703003,0.21479431,-907.1746604330491,3.272477149963379,3.577473272571308,668.9323627790233,22.549381017684937,0.0005,251.12300344183245,0.04661534734907761,25.8428635597229,0.0016836649,2.8534598350524902
732,839.9074491704453,914.3074782175831,0.4162916584839301,-872.8150266355321,3.28769850730896,19047.88467001915,800,7.638569593429565,800,0.3479185131526941,0.026254512,0.8774869441986084,7.840957880020142,0.16695904731750488,234560000,28.799474487575097,0.757282018661499,0.04956329699354118,287.9044501798323,7.4037614380351355,4.080801582554498,-4.8469753e-09,0.21459706,749.715151152583,21.613114595413208,0.21459869,-925.2054008311128,3.287846088409424,3.6960610608074305,692.98136203825,22.585269451141357,0.0005,259.2572029659895,0.045157296446189564,25.893075227737427,0.0036088456,2.8423285484313965
733,822.6753156866583,904.990598992582,0.21372480904272195,-173.42915296221418,3.280022144317627,19073.782773017883,800,7.66827917098999,800,0.1841040615841443,0.00789452,0.8801698684692383,7.746470212936401,0.16817331314086914,234880000,-4.166693202632014,0.7791628837585449,0.04923807718506812,165.403566663023,-4.243256274912787,4.320861241735522,2.4802977e-09,0.21448918,760.5626007534139,21.600932598114014,0.21449797,-911.8954262258471,3.2801730632781982,3.817864825917188,717.2622787992535,22.59653663635254,0.0005,267.3210130192812,0.04626897572973259,25.897544384002686,0.002186017,2.873522996902466
734,824.8693631312628,925.2857833513935,1.0973832303062891,-772.951202242251,3.257371425628662,19099.79163622856,800,7.620143413543701,800,0.9468639792045782,0.040507536,0.8763694763183594,7.856692552566528,0.16969013214111328,235200000,148.57959341017752,0.7812573909759521,0.04932519378835471,260.79781736498245,51.703033451177106,4.113634721525476,-5.2060933e-09,0.21448876,735.2931066222865,21.7272047996521,0.21441227,-909.5487623760224,3.257524013519287,3.7757214373219816,708.5470895053643,22.727426767349243,0.0005,265.896270766055,0.04568560747397788,26.008259773254395,0.006444755,2.903090238571167
735,809.7298457754039,919.7975513648161,-0.6432337827539275,-487.44204439453284,3.255516290664673,19125.814127206802,800,7.758965730667114,800,-0.5776931531375876,0.018629769,0.883338212966919,7.789357423782349,0.16727185249328613,235520000,-156.4303684286921,0.7599227428436279,0.04898899721893895,157.67996188250308,-59.30518097555706,4.367605505735438,6.2249597e-09,0.21448112,749.820861351774,21.762924671173096,0.21446842,-917.8609315515163,3.2556705474853516,3.91031441953712,735.4645033669319,22.738450288772583,0.0005,274.83478942538704,0.04680149842666767,26.021772623062134,0.005115831,2.883331537246704
736,825.7381185773124,926.5085775658144,0.8948474088851478,-666.8577607173527,3.2444534301757812,19151.586247444153,800,7.579737663269043,800,0.7426296130852339,0.025990391,0.8691058158874512,7.822859764099121,0.1670069694519043,235840000,107.76860023930917,0.7554829120635986,0.0487781610491258,311.56082508066726,36.909107532643304,4.0138152125223385,5.4500976e-10,0.21441467,745.3960964009638,21.535759687423706,0.2144286,-923.1385508716251,3.2446043491363525,3.5320731041529294,661.0907035297926,22.506741762161255,0.0005,245.29236692713783,0.049052328114037515,25.771395206451416,0.0050085373,2.8500733375549316
737,827.8963374152659,922.7228175794481,-0.660774678352968,-811.4129376760426,3.2368764877319336,19177.35824918747,800,7.646642208099365,800,-0.5489634941018791,0.0134497965,0.8785758018493652,7.748769760131836,0.16769981384277344,236160000,-150.5181900022281,0.7451789379119873,0.049037502752717343,259.4583945221773,-56.32292276860864,4.0060676693255095,-5.215407e-09,0.21421622,747.6620309633576,21.553427934646606,0.21420902,-927.4587487818671,3.237027168273926,3.608215582558706,676.0510315442231,22.514240264892578,0.0005,253.10398375594872,0.050102695367854035,25.77145028114319,0.003927137,2.864145040512085
738,832.7694811790225,917.4917687464301,-0.6504513270791437,-934.1670273798511,3.285322427749634,19203.262017011642,800,7.630315542221069,800,-0.5439825032870161,0.0125054,0.8678455352783203,7.768863201141357,0.16861605644226074,236480000,-149.4018375529454,0.813452959060669,0.049478389482631814,372.4415435419156,-56.048563118963486,3.8187954676858795,2.142042e-09,0.21412261,744.6615220360561,21.564088582992554,0.21411093,-921.8424487541902,3.2854745388031006,3.3770581461916755,629.6081372976914,22.59493136405945,0.0005,235.30310211501452,0.04744171965997918,25.903138399124146,0.0024534944,2.8742988109588623
739,845.4077209842123,924.3305286441398,0.012518410568706173,-796.0092455533745,3.245988607406616,19229.265112400055,800,7.722323179244995,800,0.019764096514942524,0.01050758,0.8819608688354492,7.826032638549805,0.16820597648620605,236800000,-36.686415943969735,0.7590587139129639,0.049556065822073725,374.1399342561534,-16.22648666201202,3.783708254880784,4.0380286e-09,0.2139618,755.3051302768888,21.760806560516357,0.21397352,-904.8551162294633,3.246156692504883,3.4114181916946276,636.7328645733904,22.736042737960815,0.0005,237.1824289433961,0.04932115177059434,26.002540111541748,0.002710998,2.8967716693878174
