Number of train steps total,Number of env steps total,Train Time (s),Q1 Predictions Std,Total Train Time (s),Log Pis Mean,AverageTrainReturn_all_train_tasks,Q2 Predictions Mean,Z variance eval,Policy mu Std,Policy mu Mean,KL Loss,Q1 Predictions Min,Policy mu Min,Q2 Loss,Z mean eval,Policy log std Max,Policy log std Mean,Q1 Predictions Mean,Number of rollouts total,Policy mu Max,Q1 Loss,Q1 Predictions Max,AverageReturn_all_train_tasks,Epoch Time (s),Q2 Predictions Max,Epoch,Q2 Predictions Min,Log Pis Max,Policy log std Std,AverageReturn_all_test_tasks,Sample Time (s),Z mean train,(Previous) Eval Time (s),Log Pis Std,Policy log std Min,Z variance train,Q2 Predictions Std,Log Pis Min,Policy Loss,KL Divergence
104000,430000,292.6178902722895,884.2748,9899.201608418487,7.8945513,-537.8316612894522,-1649.6667,0.013497479,1.5822645,-0.17774996,208.56894,-5636.1426,-6.617389,4506.47,1.030479,0.30058122,-0.7834396,-1651.2926,0,7.738866,4360.1733,-17.109524,-591.3522328802578,392.40893078409135,-9.412567,25,-5665.705,34.50885,0.19950214,-574.7642191302615,7.8019286915659904,1.711306,91.98911182023585,5.4173636,-1.9190817,0.005988797,884.77124,-10.571564,1645.952,208.56894
108000,435000,244.6033853897825,958.68256,10242.19551995024,7.2913713,-515.0305302765812,-1643.487,0.003931856,1.5106997,-0.009687114,180.55774,-7231.9243,-5.477426,3963.6423,1.5661551,0.083530426,-0.80761516,-1634.6263,0,7.802482,3654.692,-186.12825,-582.6846992870067,342.5845857653767,-198.921,26,-7214.744,47.224438,0.23075101,-578.3725071196128,7.621016514487565,1.6816002,90.36018386110663,5.417769,-1.724276,0.01665311,959.24963,-6.8226724,1637.5321,180.55774
112000,440000,230.65200031828135,873.9799,10570.389634949155,7.4189405,-525.121732770148,-1873.4646,0.009344238,1.5458333,-0.08716594,176.68031,-5775.3345,-6.4081645,3198.306,1.1882153,0.3816173,-0.7866727,-1870.5261,0,6.936232,3049.3757,-423.19528,-526.8945768073461,329.0530266351998,-443.06085,27,-5737.567,40.041622,0.20766908,-612.8963306528507,7.631450111977756,1.4295067,90.76957620494068,5.881664,-1.7451082,0.0037828237,871.7234,-7.330818,1869.8672,176.68031
116000,445000,223.210882733576,812.84247,10890.853236986324,6.8537903,-557.1946919087308,-1598.8245,0.012714761,1.5272051,-0.015404189,185.1453,-7203.25,-6.5293097,3794.7446,1.0065237,0.10868943,-0.7605469,-1612.0326,0,5.9138055,3328.3372,-397.24338,-611.9958787073515,320.73893956746906,-359.67236,28,-7193.0527,33.377117,0.20421532,-638.7938982978686,7.6172556430101395,1.1078153,89.91080119088292,5.329739,-1.935538,0.006159944,810.40436,-6.533977,1605.4104,185.1453
120000,450000,223.5943973818794,757.2205,11212.223134896718,7.2185187,-525.1354680960251,-1448.4268,0.0046892557,1.5004419,-0.12824297,172.6976,-6725.339,-6.069581,3272.5476,0.9281036,0.3490709,-0.7898818,-1458.9888,0,6.7899075,3060.284,-452.96588,-614.9905271972078,320.8016652278602,-442.311,29,-6721.875,35.14954,0.1981465,-564.8323046323529,7.571575155481696,0.78971153,89.63569269049913,5.134333,-1.9162269,0.00408688,757.8361,-6.8108544,1453.7142,172.6976
124000,455000,221.7347590411082,1022.2815,11532.1485026367,8.885556,-511.50888925804594,-1891.6716,0.004459871,1.6709906,-0.052741848,207.67035,-6613.4956,-6.342261,4169.9424,1.3367454,0.09594321,-0.784253,-1886.2468,0,7.7774377,3959.61,-238.95676,-566.3592282056671,319.5832962859422,-257.1763,30,-6605.9336,45.62758,0.21852334,-543.3171043199284,7.644425760023296,1.5238496,90.20411148481071,5.580091,-1.7356141,0.019703988,1022.1338,-7.1120663,1885.9651,207.67035
128000,460000,220.73292679525912,992.6882,11850.21235643886,7.6771574,-511.4623814973265,-1757.573,0.005094925,1.5474682,-0.097599246,178.77072,-7234.26,-8.282863,4125.2354,1.5232388,0.36697388,-0.7982579,-1752.9225,0,6.448905,3899.9958,-190.10843,-549.049009443998,318.91135556809604,-168.02809,31,-7220.2554,35.017982,0.22128858,-611.3412093825352,7.631903055123985,1.2970847,90.54652571771294,5.6910377,-1.7735356,0.011522529,989.9345,-6.263713,1753.6259,178.77072
132000,465000,230.84074314124882,928.57733,12178.580652480945,8.1881275,-519.4081368798182,-1777.3685,0.0077051297,1.6193748,0.091709435,198.29642,-5996.161,-7.24434,3839.7173,1.4779905,0.27619517,-0.7603148,-1787.3844,0,7.4458084,3554.0566,-287.485,-528.9207880804147,328.13524642866105,-256.58893,32,-5946.308,36.813515,0.21710576,-584.3120505732785,7.595263999886811,1.5061926,89.69923928752542,5.6235614,-1.8853874,0.0070885466,926.9303,-9.223516,1779.0696,198.29642
136000,470000,228.9169791555032,770.56354,12505.475546467118,7.092964,-520.2952514306011,-1702.7312,0.0046054716,1.5154276,-0.069905214,182.37292,-4750.613,-6.5416746,3384.8145,0.82972276,0.063794255,-0.7752048,-1698.0293,0,5.360388,3220.522,-332.11224,-585.044138434781,326.48760866280645,-324.6169,33,-4781.9927,28.158642,0.20777045,-548.3116261421504,7.6379539128392935,1.2287146,89.93267559446394,5.4327617,-1.8878168,0.016099332,772.3347,-8.4464245,1697.969,182.37292
140000,475000,225.44981269724667,993.17126,12828.53971258644,9.008614,-502.1711860801861,-1933.8959,0.012945613,1.7063097,-0.15200165,185.20776,-6533.8154,-8.354122,3809.727,1.1102744,0.2585082,-0.7490074,-1933.3799,0,6.3635793,3665.4875,-292.20956,-531.1821409993069,323.4314207518473,-233.92358,34,-6561.9756,43.27143,0.23096775,-591.8045319911164,7.641213893890381,1.9298964,90.34039416071028,5.8474193,-1.8932984,0.02481097,994.12787,-6.320114,1931.2972,185.20776
144000,480000,222.16955039743334,916.3897,13148.815180583857,8.806669,-528.7480682901224,-1664.8994,0.0024615894,1.6733036,-0.15156446,173.59802,-6355.018,-5.9822993,3237.5015,1.1813699,0.25474572,-0.74301606,-1650.2184,0,7.0847344,2933.171,-265.74014,-647.592338806447,319.7566377809271,-285.42307,35,-6409.752,33.747066,0.21249054,-550.5265374832745,7.613984803669155,1.2499202,89.97310257982463,5.4567347,-1.76721,0.0067356527,916.9213,-4.878684,1656.4481,173.59802
148000,485000,224.75522619485855,956.71893,13471.784007475711,7.4285917,-515.3687572234874,-1763.766,0.0047285827,1.5570105,-0.089591525,190.0521,-5989.467,-6.312243,3278.1384,2.2245166,0.14867711,-0.75759214,-1768.3688,0,7.4999595,3054.5066,-343.36032,-610.456787316316,322.86820731591433,-319.6,36,-6074.8066,31.702936,0.2187885,-578.6687444740921,7.620644527487457,1.3775183,90.49233659356833,5.2114754,-1.920778,0.004017001,957.421,-8.79148,1763.5172,190.0521
152000,490000,239.85015925951302,728.53656,13809.175838871859,8.59539,-498.0837074850516,-1477.929,0.005847754,1.6176537,-0.054359317,177.07744,-4950.605,-6.2101135,2999.5457,0.6818944,0.45791388,-0.78973186,-1470.2831,0,5.7307134,2901.8875,-164.05647,-548.5886236554531,338.06873454432935,-160.83209,37,-4995.866,31.6338,0.22136606,-570.9165063027189,7.625408631749451,0.87091047,90.59316665306687,5.2522902,-1.9187639,0.004799031,729.56506,-6.2284307,1471.746,177.07744
