V Predictions Max,Log Pis Max,Log Pis Min,R Predictions Min,Number of rollouts total,Policy log std Mean,V Predictions Mean,Sample Time (s),Number of train steps total,KL Loss,Policy mu Min,Policy log std Min,Policy log std Max,AverageReturn_all_train_tasks,V Predictions Min,Z variance train,Q Predictions Mean,Total Train Time (s),Log Pis Mean,(Previous) Eval Time (s),Q Predictions Std,QF Loss,Train Time (s),KL Divergence,AverageReturn_all_test_tasks,R Predictions Mean,Number of env steps total,Policy Loss,Epoch,Log Pis Std,R Predictions Max,V Predictions Std,Q Predictions Max,Q Predictions Min,R Predictions Std,VF Loss,Z mean eval,Epoch Time (s),Policy log std Std,Z mean train,Policy mu Std,RF Loss,Policy mu Max,Policy mu Mean,Z variance eval
2212.64,29.6634,-8.17346,-0.0125933,47272,-0.754856,1367.45,4.919331562938169,1738000,16.15191078186035,-6.60941,-2.80556,0.359166,736.940708279,-32.7478,0.00255036,1364.05,128398.65535726471,1.28803,17.90809089099639,303.089,969.611,124.78711116398335,161.51910400390625,723.864899075,-0.00554231,3556000,-1367.82,868,3.59181,0.000791259,291.741,2215.41,-66.0507,0.00256701,376.706,0.741722,147.6145336179179,0.252358,0.392991,0.92379,305.037,6.15913,0.338283,0.00196382
2095.6,28.4145,-8.47534,-0.0130566,47317,-0.780474,1489.48,5.016407320013968,1740000,15.245528221130371,-5.9325,-3.30999,0.0321183,737.160952775,-47.9879,0.00344761,1477.8,128546.34902696175,1.23367,17.883998689998407,281.082,895.308,124.95329460699577,152.4552764892578,739.225972467,-0.00593083,3560000,-1485.57,869,3.21917,-0.000725821,262.309,2086.78,-199.024,0.0024678,231.171,0.654359,147.85370061700814,0.251354,0.610112,0.884987,347.179,4.70355,0.334875,0.00134168
1979.02,25.8383,-8.74146,-0.013493,47360,-0.765119,1438.77,4.879417011892656,1742000,16.277263641357422,-4.57381,-2.41934,0.387221,734.612355855,19.0558,0.00163041,1430.92,128695.33223093062,1.1134,17.730122832988854,281.53,1104.6,126.25440088499454,162.7726287841797,726.550134617,-0.00543361,3564000,-1436.45,870,3.32338,0.000859196,268.002,1984.51,-57.5543,0.00259581,215.672,1.1169,148.86394072987605,0.264137,0.745355,0.901683,325.537,6.17463,0.311428,0.000494512
1866.65,33.6535,-9.0117,-0.0129918,47402,-0.76176,1374.62,4.93089266406605,1744000,15.621162414550781,-6.36771,-2.52947,0.160648,728.314324335,10.5075,0.00152871,1372.85,128842.25320861471,1.11922,17.854400362004526,244.644,982.631,124.23554433701793,156.2116241455078,716.644567144,-0.00570815,3568000,-1374.75,871,3.2445,-0.000107515,233.944,1864.48,-34.8798,0.0025238,193.923,0.910075,147.0208373630885,0.25487,0.574369,0.876947,307.762,4.94324,0.381618,0.00132252
2216.93,32.7516,-9.83592,-0.0121127,47442,-0.733817,1326.11,4.947471864928957,1746000,16.197721481323242,-5.8165,-2.44309,0.644117,742.266379867,-119.715,0.00256355,1319.0,128989.20734105268,1.18113,17.76058439500048,344.487,1009.15,123.76312089100247,161.97720336914062,743.584159888,-0.00562512,3572000,-1324.0,872,3.67218,0.000345769,331.832,2216.57,-74.0483,0.0025475,289.325,0.615451,146.4711771509319,0.259622,0.640297,0.938668,324.655,5.24356,0.326634,0.00176336
2062.56,52.8623,-9.10854,-0.0121479,47484,-0.775597,1383.44,4.921658736013342,1748000,17.170581817626953,-4.91858,-3.19579,0.521858,724.310359777,-116.823,0.00312889,1378.56,129136.46423211569,1.41916,18.249102285975823,299.126,812.918,123.90843015999417,171.705810546875,725.901688978,-0.00582544,3576000,-1387.98,873,3.69151,0.000428633,282.245,2074.69,-84.0342,0.00262758,465.173,0.790689,147.07919118198333,0.275149,0.631238,0.920309,338.729,6.50771,0.343724,0.00121262
2172.28,28.2151,-10.2977,-0.0121659,47526,-0.756567,1478.8,5.0774925939622335,1750000,15.093545913696289,-4.57317,-2.28002,0.152655,729.355665127,-2.96789,0.0019976,1469.85,129284.61841861764,1.06516,18.43243498800439,284.215,689.311,125.24035905499477,150.93545532226562,723.955946025,-0.0053384,3580000,-1473.95,874,3.24956,0.000523533,272.641,2151.69,-40.3692,0.00267526,184.091,0.965997,148.7502866369614,0.246222,0.969506,0.888375,314.654,4.77273,0.348843,0.00141907
1959.82,31.5217,-11.4988,-0.0120457,47567,-0.754263,1345.59,4.9347762879915535,1752000,16.517826080322266,-5.80224,-2.59642,0.195569,741.170131363,-48.5462,0.00289233,1336.8,129432.10328575465,0.963059,17.84212756800116,290.939,779.666,124.58053865199327,165.17825317382812,729.632150484,-0.00572324,3584000,-1342.67,875,3.54715,-0.000283098,276.242,1958.52,-52.0197,0.00243065,170.741,0.828323,147.35744250798598,0.261377,1.28565,0.894435,292.39,5.4402,0.286682,0.00178866
2199.23,47.0201,-10.6123,-0.0116306,47609,-0.752051,1369.47,4.880175894068088,1754000,15.59239387512207,-6.33031,-2.43563,1.53856,737.258147478,-78.0053,0.00170066,1359.3,129578.82894498875,1.21536,17.97572189499624,328.092,748.998,124.02250968999579,155.92393493652344,728.362856911,-0.00567194,3588000,-1365.32,876,3.85682,0.000564287,311.505,2195.99,-34.6372,0.00252153,567.295,0.873107,146.87840747906012,0.265847,0.624569,0.931582,325.783,9.07263,0.325257,0.00115521
1944.91,25.6104,-8.09435,-0.0115896,47651,-0.744748,1316.43,4.908469143032562,1756000,16.29279136657715,-5.04776,-2.7163,0.322457,731.232356909,-85.0612,0.00250758,1310.49,129726.2597173168,0.926199,17.828253647021484,269.472,749.275,124.69721475400729,162.9279022216797,726.609446909,-0.00565187,3592000,-1315.2,877,3.30411,0.0023946,253.038,1963.1,-59.9865,0.00249459,194.432,0.915636,147.43393754406134,0.25267,0.360747,0.878914,269.56,5.10001,0.32489,0.000427365
