Z mean train,R Predictions Std,V Predictions Mean,V Predictions Std,KL Divergence,Policy Loss,Epoch,Q Predictions Std,Q Predictions Max,KL Loss,AverageReturn_all_train_tasks,Total Train Time (s),R Predictions Max,V Predictions Min,Q Predictions Min,VF Loss,Policy mu Std,Number of train steps total,(Previous) Eval Time (s),V Predictions Max,Policy log std Max,R Predictions Min,Policy mu Max,Number of env steps total,Policy mu Mean,Policy log std Min,Z mean eval,Z variance train,Epoch Time (s),R Predictions Mean,Log Pis Min,AverageReturn_all_test_tasks,Policy log std Std,Z variance eval,Policy log std Mean,Q Predictions Mean,Log Pis Mean,RF Loss,Number of rollouts total,QF Loss,Log Pis Max,Policy mu Min,Train Time (s),Log Pis Std,Sample Time (s)
0.355283,0.00225418,-739.649,414.288,62.30039596557617,739.997,21,416.633,-112.491,311.5019836425781,-534.423326846,1571.7845825450495,0.0084669,-3152.19,-3169.54,174.534,0.746459,22000,34.512796378694475,-115.961,0.019054,-0.00591557,2.63518,420000,-0.033911,-1.18155,0.47358,0.672897,64.83714173734188,0.00236217,-13.6345,-530.84562475,0.171525,0.139601,-0.552354,-749.536,-1.37819,374.69,5400,1514.4,11.9173,-2.53216,22.726312562823296,2.64631,7.5980327958241105
0.522694,0.00244216,-774.569,444.327,59.32454299926758,765.611,22,444.575,-115.263,296.6227111816406,-528.876083402,1635.6316368412226,0.00931208,-2572.78,-2555.01,290.364,0.765421,23000,34.071976099163294,-117.907,-0.0511505,-0.0078291,2.39607,430000,0.0351405,-1.22241,0.410417,0.717444,64.0284417681396,0.00270243,-10.6842,-528.898270539,0.172384,0.139362,-0.559225,-776.459,-1.19725,388.374,5600,1862.52,11.8027,-2.65625,22.720289352349937,2.67944,7.23617631662637
0.4009,0.00248336,-776.593,446.404,74.80045318603516,775.758,23,446.032,-99.4187,374.00225830078125,-519.295339635,1700.4497505556792,0.00875215,-3368.45,-3370.07,207.81,0.747344,24000,33.89064613729715,-103.793,-0.0962564,-0.0071519,2.74208,440000,0.0372895,-1.23547,0.419733,0.667152,63.92527773603797,0.00207047,-11.0315,-539.170122768,0.173172,0.139063,-0.558148,-782.132,-1.39743,387.859,5800,1770.12,11.9626,-2.53365,22.790437248535454,2.64301,7.244194350205362
0.319473,0.00215377,-808.544,424.085,67.48853302001953,810.335,24,425.79,-37.3403,337.4426574707031,-512.947764817,1763.8955218018964,0.00870894,-3765.32,-3768.18,179.158,0.731271,25000,34.78357822448015,-41.8369,-0.0477951,-0.00398266,2.74798,450000,0.0335892,-1.28399,0.347617,0.662687,64.76800485886633,0.00283643,-11.4586,-511.402948381,0.167207,0.138829,-0.568391,-817.501,-1.39568,385.74,6000,1799.38,10.123,-2.59025,22.55761467292905,2.55251,7.426811961457133
0.463108,0.00230802,-834.933,494.477,71.16725158691406,832.094,25,496.548,-85.643,355.83624267578125,-514.97995882,1827.8870539003983,0.00833613,-3114.8,-3115.32,193.357,0.7761,26000,33.46129664313048,-90.8244,-0.0481086,-0.00766102,2.79988,460000,0.0269029,-1.19386,0.268097,0.615844,63.324810314923525,0.0022654,-11.9197,-504.175288279,0.17745,0.137216,-0.566751,-842.876,-1.14056,413.02,6200,2017.65,12.135,-2.55132,22.691485206596553,2.6818,7.17202846519649
0.49756,0.00231382,-800.908,474.873,66.72667694091797,793.501,26,476.08,-101.693,333.6333923339844,-543.340179749,1892.2716330615804,0.00694228,-3548.8,-3626.29,234.552,0.736242,27000,34.12809040490538,-92.926,-0.0375486,-0.00634604,2.48242,470000,-0.00458597,-1.26993,0.408894,0.702152,64.3100612796843,0.00198202,-10.5624,-515.831823226,0.169343,0.153976,-0.578799,-801.925,-1.43172,366.955,6400,1784.83,11.0595,-2.32037,22.867124620825052,2.60705,7.314846253953874
0.447578,0.00216976,-834.652,440.699,67.50980377197266,838.474,27,440.801,-2.42522,337.54901123046875,-487.989411222,1959.4954936401919,0.00925064,-4450.63,-4427.85,181.143,0.726226,28000,34.202573554590344,-6.46575,-0.0887712,-0.00643861,2.62836,480000,-0.0350839,-1.18627,0.173701,0.672293,65.22698726970702,0.00245426,-10.7784,-538.742508007,0.153875,0.14657,-0.559929,-841.174,-1.48665,388.26,6600,1724.79,12.0593,-2.40249,23.600334914401174,2.4996,7.424078800715506
0.291825,0.00232381,-713.484,472.917,62.71360397338867,720.679,28,477.585,-45.1814,313.5680236816406,-490.799068657,2024.9843591395766,0.0088456,-4496.91,-4563.03,244.083,0.694633,29000,36.19957706145942,-35.2086,-0.0889097,-0.00565637,2.71495,490000,-0.040329,-1.23196,0.295844,0.585432,67.0572624374181,0.00236693,-11.666,-520.355276916,0.17533,0.150968,-0.603394,-727.185,-1.63549,346.143,6800,1704.69,10.8042,-2.96686,23.46587605960667,2.57573,7.39180931635201
0.246164,0.00224848,-755.623,516.348,63.30366897583008,753.528,29,517.367,-65.4344,316.5183410644531,-497.978542844,2090.477601831779,0.00901938,-4261.37,-4311.0,205.884,0.725652,30000,34.63124530669302,-68.7482,-0.116708,-0.00455335,2.62512,500000,0.0718398,-1.21542,0.592051,0.711207,65.51432905811816,0.00228512,-12.1622,-510.960487041,0.169923,0.151931,-0.587166,-759.518,-1.29032,375.561,7000,2296.5,11.9352,-2.79566,23.489331879653037,2.54762,7.3937518717721105
0.287513,0.00232068,-781.223,478.303,63.39250183105469,782.525,30,479.943,-44.3121,316.9625244140625,-489.347887664,2158.137485797517,0.00841931,-2928.35,-2927.27,167.483,0.691463,31000,34.61016443930566,-47.5829,0.00697026,-0.00597972,3.02079,510000,0.0092002,-1.17794,0.473813,0.55188,66.74380945786834,0.00248482,-11.0598,-504.911610298,0.171044,0.159959,-0.579852,-787.214,-1.70937,344.923,7200,1849.75,9.04246,-2.29869,24.713672084733844,2.4282,7.419972933828831
0.251498,0.00247863,-897.541,512.207,62.85105514526367,897.01,31,510.576,-92.8298,314.2552795410156,-460.270034213,2225.611752464436,0.00899705,-3936.01,-3959.35,214.347,0.735727,32000,35.52652990538627,-83.2972,0.0535121,-0.00525461,2.57436,520000,0.00880968,-1.21625,0.459506,0.68643,67.03515307232738,0.00268193,-10.4893,-489.4705356,0.162748,0.162994,-0.565123,-901.937,-1.41124,402.894,7400,1876.12,8.97516,-2.64083,23.904014361090958,2.50114,7.604608805850148
0.296723,0.00231315,-874.282,581.954,58.67129898071289,871.727,32,582.351,-38.3102,293.35650634765625,-467.408334553,2294.132008071989,0.00850707,-4830.03,-4913.36,247.163,0.726033,33000,35.9654385028407,-40.6707,-0.104078,-0.00553574,2.83219,530000,0.0948286,-1.20814,0.337893,0.605876,68.20578658021986,0.00222579,-10.1785,-493.664751663,0.164486,0.138727,-0.595519,-881.08,-1.32131,347.508,7600,2383.69,12.6488,-2.77653,24.634565346874297,2.60762,7.60578273050487
0.217829,0.00236882,-873.17,552.582,66.37583923339844,869.199,33,554.785,-84.7455,331.87921142578125,-476.331607965,2360.6696426132694,0.00871551,-3363.51,-3374.41,239.314,0.718864,34000,36.280021597631276,-79.6562,-0.0452988,-0.00677086,2.85553,540000,0.0456271,-1.17293,0.419825,0.726994,68.37252684310079,0.00239814,-12.9388,-514.341337719,0.162481,0.132155,-0.587268,-876.123,-1.43943,369.239,7800,2137.56,11.4563,-2.44269,24.52911796234548,2.62657,7.56338728312403
0.401597,0.00220536,-823.392,394.235,63.04499053955078,822.053,34,394.573,-83.0715,315.2249450683594,-434.140543998,2427.019517619163,0.0081324,-2586.72,-2543.86,235.08,0.712148,35000,34.445166948251426,-98.6803,-0.0516346,-0.00865427,2.63338,550000,0.071207,-1.25665,0.424358,0.617806,66.02043970208615,0.00222864,-10.6723,-447.449583014,0.153317,0.147505,-0.602709,-827.498,-1.42999,318.907,8000,1918.4,10.7486,-2.70712,23.923846502788365,2.49586,7.6514262510463595
