Sample Time (s),Q2 Predictions Max,Log Pis Std,AverageReturn_all_train_tasks,Q2 Predictions Mean,Q1 Predictions Min,Q1 Predictions Mean,Epoch,Z variance eval,Policy mu Min,Alpha Loss,Policy log std Std,Q1 Predictions Max,Z mean eval,Train Time (s),Number of rollouts total,Policy log std Min,Number of train steps total,Q2 Loss,Alpha,Q2 Predictions Std,Q2 Predictions Min,AverageTrainReturn_all_train_tasks,Log Pis Mean,Policy mu Mean,Number of env steps total,Q1 Predictions Std,Log Pis Min,Policy mu Max,Policy Loss,Policy log std Max,Total Train Time (s),AverageReturn_all_test_tasks,Policy log std Mean,Q1 Loss,(Previous) Eval Time (s),Log Pis Max,Policy mu Std,Epoch Time (s)
10.238870115019381,-298.35806,4.2298784,-563.6070244904924,-1844.9646,-5063.559,-1841.9293,20,0.0,-5.983764,-0.49394354,0.3060374,-301.7369,4.2161083,446.23178001120687,0,-2.5994368,84000,2751.7178,0.1349341,749.6458,-5043.503,-541.5396899209176,7.7533913,-0.010967165,405000,748.48846,-4.9537435,9.254288,1838.8344,1.2774407,13137.178458981216,-595.1642148889586,-1.3098232,2739.5066,136.84333142079413,36.2637,1.2443432,593.3139815470204
9.742023332975805,-211.19894,4.1144395,-582.3604409038963,-1876.3629,-5415.7437,-1876.9059,21,0.0,-5.193602,0.88264316,0.3171653,-199.2297,4.245929,443.08631353173405,0,-2.421165,88000,3437.61,0.13580017,837.14374,-5462.3267,-540.302756788136,8.442001,0.0826581,410000,835.3846,-5.1569633,5.6538396,1868.1881,0.5108808,13735.745555016212,-640.9546816900087,-1.2985417,3384.1985,142.9556477246806,29.246632,1.3213053,595.7839845893905
10.499312329106033,-278.119,4.041042,-560.8055428056055,-1913.7109,-5375.093,-1910.4285,22,0.0,-4.8943963,0.606222,0.30626214,-256.5379,4.693139,444.24145450722426,0,-2.3327432,92000,2704.4958,0.13449389,815.1487,-5417.8696,-508.32597013399015,8.30216,0.18975356,415000,815.3092,-4.193059,5.4538383,1907.7211,0.3665167,14326.70565554034,-606.3403021665473,-1.2885625,2571.4949,145.73954907990992,25.26253,1.2799368,600.4803159162402
8.17578193359077,-357.64026,3.9825346,-533.2804076300374,-1889.266,-5590.7017,-1895.3538,23,0.0,-7.2578664,-0.5718619,0.2937504,-357.33176,4.641465,440.37359103839844,0,-2.7070336,96000,2621.7732,0.13507457,706.2727,-5548.031,-534.7031842810087,7.714348,0.025287148,420000,707.1979,-3.5560896,7.173087,1885.0359,0.3699317,14915.42271318473,-610.8282810144615,-1.3189316,2495.1355,136.21975719556212,30.326372,1.2254932,584.7691301675513
10.362636017613113,-259.4275,4.3661942,-614.8943077667024,-2035.4387,-5932.971,-2036.3918,24,0.0,-5.842271,1.3860897,0.30077696,-226.5632,4.4963775,442.810030054301,0,-2.508226,100000,4256.7847,0.13784775,910.1104,-5983.3896,-551.9325106155976,8.699331,0.2092452,425000,910.8577,-6.169646,5.794308,2030.65,0.4675908,15504.376109618694,-598.8623242955297,-1.3032639,4116.9526,140.16789110004902,31.255756,1.3281958,593.3405571719632
10.757182977162302,-296.37802,4.3513174,-556.2525474830984,-1921.0051,-6181.2227,-1921.9797,25,0.0,-6.3493876,0.8931017,0.3176902,-300.25485,5.2138243,445.0944292442873,0,-2.6789458,104000,2799.195,0.13836214,873.9814,-6240.5205,-497.9642579770898,8.451565,0.12944002,430000,873.7064,-6.757517,6.1260967,1919.1155,0.51537716,16101.93395929411,-627.4560051474205,-1.2732998,2807.444,135.78093284461647,33.781128,1.3233211,591.6325450660661
11.1600659834221,-585.1612,4.0479674,-584.5243556176478,-1838.2578,-5212.8076,-1838.5209,26,0.0,-5.590851,-0.31661806,0.28944206,-556.29626,5.361164,447.47946848906577,0,-2.5819044,108000,2551.5408,0.14003251,782.8371,-5212.147,-509.8254083619782,7.838938,0.18429855,435000,781.9811,-7.8374248,8.240295,1830.3845,0.827199,16722.45045624394,-634.1482675151235,-1.3007491,2581.4329,141.70716785266995,29.803968,1.2386295,600.3467023251578
8.696140742860734,-352.91492,4.022735,-640.3270578194063,-1657.0876,-5585.8975,-1660.6738,27,0.0,-5.1977267,-0.49034315,0.28179628,-358.64148,4.054773,448.7032384648919,0,-2.4490721,112000,2587.326,0.14263387,637.1391,-5533.6978,-548.0737773827293,7.748221,0.22384982,440000,638.0419,-3.2850246,6.5913105,1647.3617,0.24112809,17337.254330968484,-632.3239364376776,-1.275439,2514.8157,161.87708162423223,38.53308,1.2380029,619.2764608319849
10.447001667693257,-384.178,4.045765,-666.5632057306776,-1783.1449,-4954.4805,-1785.0807,28,0.0,-5.415554,-0.7590238,0.28460184,-370.11212,4.0999613,448.0355710638687,0,-2.682649,116000,2466.6677,0.14327535,804.9286,-4808.073,-580.0857617897819,7.6093025,0.08222519,445000,805.27246,-4.9210505,7.335018,1783.1285,0.7237108,17952.508012509905,-618.0400662190691,-1.322952,2653.513,157.40534980408847,35.67807,1.2127974,615.8879225356504
9.785315126180649,-226.22507,4.203868,-531.7671571406944,-1690.5514,-5538.8433,-1689.3453,29,0.0,-5.267131,-0.53532785,0.27937695,-256.7958,4.863317,448.69374581146985,0,-2.5477605,120000,2876.8079,0.1453238,831.18634,-5525.852,-487.4159249187733,7.722473,0.06943804,450000,830.8657,-5.665705,5.5635843,1683.0276,0.5465473,18566.684946635738,-616.7513503231979,-1.2768826,2758.9614,156.7721094833687,29.602783,1.2592378,615.2511704210192
