Policy Loss,Sample Time (s),Policy log std Mean,(Previous) Eval Time (s),Z mean eval,Policy mu Std,Log Pis Std,R Predictions Mean,Log Pis Mean,AverageReturn_all_test_tasks,Policy mu Mean,Q Predictions Std,Train Time (s),Number of env steps total,Log Pis Min,V Predictions Min,Policy log std Min,KL Divergence,Z variance eval,Q Predictions Min,KL Loss,RF Loss,V Predictions Std,Log Pis Max,AverageReturn_all_train_tasks,Epoch Time (s),R Predictions Min,V Predictions Max,Q Predictions Mean,Z mean train,Z variance train,Number of rollouts total,Policy mu Min,Epoch,Q Predictions Max,Policy log std Max,Policy mu Max,R Predictions Max,R Predictions Std,Number of train steps total,VF Loss,Policy log std Std,QF Loss,Total Train Time (s),V Predictions Mean
-1446.89,7.254179378001936,-0.427564,71.70571807600027,0.258914,0.974851,9.7786,-0.0110705,0.967583,588.893119929,0.324505,730.177,378.2288680450001,288000,-15.0443,21.5386,-1.71141,176.59840393066406,0.0482408,-3.33838,17.659841537475586,571.421,704.898,49.6574,589.899375431,457.18876549900233,-0.289996,2535.77,1376.55,0.626409,0.0370101,13130,-4.12504,21,2514.69,0.50135,4.0498,0.18289,0.0339933,88000,1329.42,0.220342,2510.62,10275.072029260009,1443.26
-1387.86,7.408917394999662,-0.413116,70.76751674299885,0.652812,0.984763,9.73976,-0.0187568,0.620275,601.464153165,0.252514,729.499,378.00533847899897,292000,-13.7968,14.1095,-1.57436,177.2985076904297,0.0650341,5.17598,17.72985076904297,568.673,702.188,52.7049,617.762339468,456.1817726169975,-0.328347,2605.26,1335.81,2.17046,0.084838,13257,-4.33817,22,2606.0,0.155266,3.91067,0.212842,0.0377965,92000,1185.82,0.21253,3832.1,10731.730315117009,1388.7
-1450.58,7.412120433999007,-0.413562,71.24436103500011,1.15483,0.996039,10.1046,-0.011423,0.668808,622.151719082,0.236807,757.26,377.35236600499957,296000,-16.9845,21.8615,-2.07038,188.0653839111328,0.0539223,8.4689,18.80653953552246,567.46,730.701,55.1548,589.878431913,456.0088474739987,-0.413091,2667.26,1385.78,2.40887,0.113692,13391,-4.9851,23,2653.64,0.0658843,5.03211,0.109377,0.0368699,96000,1051.48,0.220368,2219.03,11185.493111518008,1446.05
-1271.78,7.302673961999972,-0.401532,68.99876377500004,1.27272,0.926159,8.35326,-0.0213241,-0.755337,536.327531798,0.191686,669.459,376.73364393999873,300000,-16.9118,19.2863,-1.53384,159.7559814453125,0.0658704,2.87844,15.975598335266113,567.677,655.226,50.1127,541.551471224,453.03508167699874,-0.343663,2447.17,1222.67,1.37773,0.0244588,13540,-4.07227,24,2425.99,0.122954,3.74568,0.114673,0.0366735,100000,831.071,0.214943,2030.01,11637.361684370007,1272.1
-1378.7,7.38863006000247,-0.408102,67.83301383099933,0.834558,0.951697,9.49414,-0.0161654,-0.22093,652.710416506,0.217977,733.211,376.07021559400164,304000,-15.9334,-4.82399,-1.7086,164.592529296875,0.0417397,-3.5076,16.459253311157227,576.122,713.134,48.6357,632.525749153,451.29185948500344,-0.256434,2606.24,1322.92,0.631231,0.0386229,13666,-3.56329,25,2591.11,0.139861,5.07114,0.157982,0.0352759,104000,1160.21,0.213825,2004.46,12091.835232139012,1367.96
-1319.48,7.282172303001062,-0.413247,71.015246130999,1.15741,0.965458,9.22446,-0.0172422,0.181566,630.216199834,0.215173,664.721,377.1370386749986,308000,-16.1438,13.4873,-1.76036,133.21820068359375,0.0551965,-16.4853,13.321820259094238,559.861,649.272,49.024,651.662354949,455.4344571089987,-0.397419,2328.33,1260.59,1.98224,0.0196525,13780,-4.01495,26,2306.19,0.00905132,4.98584,0.148745,0.0378126,108000,867.629,0.216559,2914.44,12547.258310892008,1316.76
-1228.46,7.277378065000448,-0.399978,71.00445275200036,0.836105,0.925621,8.00803,-0.0191662,-0.867743,690.53296748,0.197668,626.89,377.51874062999923,312000,-16.1052,-6.69539,-1.60487,130.12611389160156,0.0567412,-3.78494,13.012611389160156,570.359,614.63,60.1528,708.515370437,455.80057144700004,-0.385894,2329.59,1178.17,2.05422,0.0289324,13891,-3.96548,27,2318.09,0.280087,4.61998,0.105986,0.036358,112000,873.347,0.207832,2207.47,13006.743391480006,1219.92
-1258.86,7.071218987000975,-0.406119,74.68921380400025,0.957134,0.932725,8.1716,-0.0170485,-0.488223,539.187676566,0.227512,636.413,378.3887286010013,316000,-16.4679,6.86675,-1.48694,133.9747772216797,0.0580453,8.18606,13.397478103637695,564.629,619.795,47.7282,524.666141221,460.1491613920025,-0.238633,2216.43,1204.32,1.25996,0.0531993,14017,-4.15545,28,2216.06,0.112402,4.56967,0.159176,0.0337759,116000,863.369,0.216549,2298.66,13459.333088255007,1256.76
-1361.84,7.119507817998965,-0.418835,67.12998942999911,1.05107,0.952261,8.86884,-0.0146702,-0.263642,636.525421156,0.185027,677.181,376.3937976840007,320000,-16.2452,24.3725,-1.86167,131.0320281982422,0.0291173,-2.25113,13.103202819824219,571.14,656.042,65.1205,666.98968189,450.64329493199875,-0.277102,2442.61,1303.42,0.95044,0.0335256,14131,-4.42089,29,2440.95,0.0963054,5.35204,0.23971,0.0329372,120000,1103.05,0.215019,1973.61,13913.278850306011,1348.02
-1277.18,7.389793934000409,-0.426217,70.43343655599892,0.95575,0.959308,8.29205,-0.0175599,0.0158244,579.563129388,0.199469,652.19,377.4176059859983,324000,-15.7246,15.3879,-1.97082,133.64862060546875,0.0400199,-4.06729,13.364862442016602,560.921,636.77,51.7628,605.395606333,455.24083647599764,-0.277258,2355.96,1225.95,0.541639,0.0219479,14240,-4.28025,30,2338.88,0.0605475,4.66175,0.0951325,0.0344548,124000,812.776,0.214855,1843.41,14365.39169026801,1284.91
