Policy mu Max,Policy mu Mean,Number of env steps total,QF Loss,KL Loss,VF Loss,Epoch,Policy log std Std,KL Divergence,Z variance eval,Sample Time (s),Policy mu Min,Epoch Time (s),Policy mu Std,V Predictions Max,Policy log std Mean,R Predictions Mean,AverageReturn_all_test_tasks,RF Loss,Policy Loss,Log Pis Std,R Predictions Max,(Previous) Eval Time (s),R Predictions Std,V Predictions Min,Policy log std Max,Z mean train,V Predictions Std,Policy log std Min,Q Predictions Std,Q Predictions Mean,V Predictions Mean,Z variance train,Log Pis Max,R Predictions Min,Log Pis Min,Log Pis Mean,Z mean eval,Total Train Time (s),Train Time (s),AverageReturn_all_train_tasks,Q Predictions Max,Number of rollouts total,Q Predictions Min,Number of train steps total
3.16237,-0.0867458,214000,274.948,5.2917914390563965,75.0147,20,0.212509,52.917911529541016,0.0592035,10.429709410999976,-3.98932,89.91870226500009,0.929636,1600.29,-0.42222,0.000873684,760.648150198,74.2438,-662.761,3.05705,0.00793377,4.0942859560000215,0.00277392,-40.5756,0.109611,1.71503,382.446,-1.42417,382.076,659.047,661.959,0.150226,14.9709,-0.00639977,-11.0057,-0.146172,1.99528,1887.2245282659997,75.3947068980001,784.732027625,1610.61,1280,5.3777,42000
2.81699,-0.0437512,224000,139.897,6.8904900550842285,57.4696,21,0.234183,68.90489959716797,0.0809261,10.58816045499907,-2.35876,91.30414170499944,0.949476,827.491,-0.418853,0.00121947,796.523883901,46.6721,-548.715,2.86121,0.00767024,4.236878158000309,0.00254028,-9.01709,0.0942672,1.66655,159.022,-1.66927,163.796,540.775,547.594,0.0637464,10.8385,-0.00774037,-8.86586,-0.00804022,1.80608,1978.455922795998,76.47910309200006,767.68357418,827.095,1340,-25.1812,44000
3.08,-0.0489225,234000,601.223,12.954928398132324,210.139,22,0.270437,129.54928588867188,0.0464471,10.527143115999479,-2.66085,90.54118513899994,1.07111,1789.04,-0.459917,0.00117773,684.903046337,117.5,-929.557,3.30275,0.00961024,4.164739910000208,0.00303044,169.758,0.147552,2.66575,325.523,-2.15912,330.167,912.396,936.807,0.100764,10.8767,-0.00922071,-7.61483,0.92097,0.950621,2069.0010708919986,75.84930211300025,804.644642892,1785.66,1400,141.895,46000
2.53898,-0.103883,244000,203.016,6.300212383270264,83.2445,23,0.214709,63.00212097167969,0.0421218,10.640037235000818,-2.7659,90.77948051700105,0.996334,1495.29,-0.472883,-0.000427017,805.637769519,211.145,-875.874,3.07054,0.00661191,4.169475147999947,0.00294773,12.9246,0.071647,1.21401,325.343,-1.69173,328.077,868.78,875.794,0.093785,9.77159,-0.0091485,-12.7209,0.405744,1.50574,2159.748374855,75.96996813400028,780.513481012,1499.26,1460,-23.572,48000
2.49516,-0.119289,254000,219.848,7.888221263885498,65.1535,24,0.229732,78.88220977783203,0.0588995,10.496693114999744,-2.77064,90.2330067529997,1.02033,1937.81,-0.453681,-8.5132e-05,741.891321139,197.839,-850.091,3.32446,0.00879525,4.137255228999948,0.00310195,39.8025,0.180896,2.10551,437.609,-1.93785,438.737,841.314,846.605,0.153655,12.947,-0.00845981,-8.71572,0.659138,0.662584,2249.9822625469997,75.59905840900001,806.308589219,1944.66,1520,32.2825,50000
2.68358,-0.0891654,264000,315.515,5.127810001373291,121.152,25,0.217482,51.278099060058594,0.0499612,10.67770513600044,-2.75523,90.79411921900055,1.00074,1449.13,-0.492543,0.000580057,894.552701207,123.461,-883.96,2.93381,0.00830599,4.138827441000103,0.00300605,-11.29,0.0433254,1.47669,330.25,-1.81527,333.414,875.423,882.263,0.0699096,9.15282,-0.00926409,-8.39672,0.573609,1.8983,2340.7290719049997,75.977586642,827.379301296,1449.51,1580,6.78769,52000
2.95065,-0.125544,274000,343.892,8.756325721740723,138.159,26,0.233381,87.5632553100586,0.0551721,10.459970866000731,-2.54578,89.86698792900052,1.09727,2058.07,-0.492478,0.000432207,870.584071548,141.215,-1143.75,3.49068,0.00806236,4.092518803000075,0.00301438,-268.701,0.0992579,1.5599,515.606,-1.97035,519.549,1133.59,1148.84,0.048788,13.5294,-0.00825988,-8.63427,1.2833,1.94584,2430.5329656099993,75.31449825999971,860.037894641,2070.41,1640,-257.201,54000
2.485,-0.0785602,284000,159.224,8.3954439163208,72.0196,27,0.246472,83.95443725585938,0.0361847,10.451368565000848,-2.60965,89.2683308350006,1.00947,1775.98,-0.476265,-0.00013284,851.208412609,199.868,-921.699,3.05088,0.00914799,4.029374483000083,0.00297218,123.295,0.13249,1.65423,366.432,-1.84261,371.189,913.823,926.181,0.11472,10.8788,-0.00808992,-8.16194,0.578355,1.38515,2519.7909423240003,74.78758778699967,863.547166453,1773.41,1700,106.782,56000
2.54717,-0.0389781,294000,202.296,8.552264213562012,75.9835,28,0.239019,85.52263641357422,0.0429809,10.53009899000017,-2.87519,89.191733785,1.04887,1905.22,-0.474354,-4.48882e-05,850.461967676,205.822,-968.914,3.21528,0.00893679,4.019577161999678,0.00304428,155.368,0.0644729,1.77422,401.24,-1.97619,405.996,957.064,970.798,0.035731,11.6898,-0.00900552,-11.0001,0.88966,1.8098,2609.0590865930003,74.64205763300015,891.752700372,1910.58,1760,106.229,58000
2.67729,-0.0797299,304000,347.281,6.000321865081787,116.384,29,0.234851,60.00321960449219,0.0475716,10.502907245002007,-3.16826,89.59748339600219,1.05045,1635.36,-0.498428,0.000567504,853.139003169,112.609,-1035.68,3.17401,0.00820846,4.096474453000155,0.00289028,-341.91,0.0363466,1.60257,340.419,-1.86047,348.751,1026.2,1038.14,0.0410371,11.3259,-0.009789,-8.95441,0.938031,1.43775,2698.5978387480022,74.99810169800003,891.09757963,1641.75,1820,-300.812,60000
