(Previous) Eval Time (s),Total Train Time (s),Policy log std Std,Log Pis Mean,Number of env steps total,Policy mu Min,Number of rollouts total,Policy log std Mean,Number of train steps total,Policy mu Mean,Q Predictions Std,Epoch Time (s),R Predictions Min,Epoch,Policy log std Min,R Predictions Std,Train Time (s),Log Pis Std,VF Loss,Q Predictions Max,Z mean eval,QF Loss,R Predictions Mean,Policy mu Max,V Predictions Mean,Policy Loss,KL Loss,V Predictions Std,KL Divergence,Q Predictions Mean,Q Predictions Min,AverageReturn_all_train_tasks,Sample Time (s),Policy mu Std,V Predictions Min,V Predictions Max,AverageReturn_all_test_tasks,Policy log std Max,Z variance train,RF Loss,R Predictions Max,Log Pis Min,Z variance eval,Z mean train,Log Pis Max
4.154754539000351,2437.3932443840076,0.262299,0.146983,274000,-2.98876,1640,-0.487129,54000,0.0279099,272.734,90.60240091700143,-0.00939417,26,-1.81958,0.00219476,75.68678274900003,2.78361,94.8546,1182.1,1.71083,320.48,-0.00226091,3.26024,808.516,-807.424,7.043539524078369,266.028,70.43539428710938,795.929,-104.769,875.669976776,10.76086362900105,0.958456,-101.993,1181.3,927.555225527,0.129569,0.0369568,128.619,0.00358495,-9.77755,0.0408801,1.50399,8.29267
4.288239868000346,2526.5595948160067,0.189921,1.45371,284000,-3.42611,1700,-0.533693,56000,-0.029346,477.518,89.33731280199936,-0.0139508,27,-1.71419,0.00315654,74.35291811900015,3.61902,348.161,2083.36,4.01077,747.242,-0.00384201,2.6897,1389.54,-1385.79,6.380253314971924,474.018,63.80253219604492,1375.78,-292.743,917.065041179,10.696154814998863,1.11887,-248.08,2091.38,243.662986079,0.0534705,0.171988,246.426,0.00369383,-8.63901,0.433735,1.73534,16.0826
4.117739265999717,2616.320378937005,0.239935,2.18234,294000,-4.35075,1760,-0.485329,58000,-0.294361,381.286,89.65161512899931,-0.0123247,28,-1.93953,0.00298491,74.94501751500002,3.31345,125.892,2183.98,1.52663,437.725,-0.00258236,3.03546,1366.43,-1366.18,15.75890064239502,377.082,157.58900451660156,1351.67,283.152,981.793463633,10.588858347999576,1.17368,268.302,2190.77,926.123290321,0.0601421,0.0416873,231.164,0.0036233,-7.82799,0.0448832,2.82603,12.4573
4.227343842000209,2705.773853146003,0.232943,1.46935,304000,-3.1812,1820,-0.546838,60000,-0.0316019,389.238,89.57589273599797,-0.0138918,29,-1.85601,0.00304108,74.62889804099996,3.17072,109.814,1882.64,1.63715,282.019,-0.00306218,2.80835,1184.8,-1188.69,6.721116542816162,383.95,67.21116638183594,1179.86,-90.2612,892.965899006,10.719650852997802,1.08563,-122.499,1887.17,910.327735219,0.0910114,0.0255961,215.109,0.00413787,-8.43913,0.0846891,1.6016,12.9023
4.105926805999843,2794.902827798002,0.222641,0.79704,314000,-2.84444,1880,-0.514761,62000,-0.0661184,289.837,89.27685344399879,-0.0120271,30,-1.73509,0.00255975,74.49842307200015,3.14107,205.722,1605.72,1.54444,562.481,-0.00232744,2.71397,1170.19,-1165.23,4.643259525299072,286.17,46.432594299316406,1159.63,-359.249,943.888426948,10.672503565998795,1.0276,-382.339,1608.36,927.755112192,0.0521338,0.0763358,159.737,0.00298412,-8.87218,0.0537172,0.707165,11.6727
3.9581268160000036,2881.733849350002,0.229436,2.20563,324000,-4.70147,1940,-0.513542,64000,-0.136533,485.895,86.78433255299933,-0.0148086,31,-1.67764,0.0030157,72.50111274900019,3.66059,299.163,2287.85,1.46747,396.221,-0.00421428,2.60949,1626.47,-1616.24,8.711020469665527,484.158,87.11019897460938,1613.77,-186.689,926.269897456,10.325092987999142,1.21403,-173.694,2305.52,929.857611157,0.149188,0.167,290.405,0.00331887,-10.6789,0.0361912,1.98032,13.3673
4.005291487999784,2970.6578530680003,0.228943,0.953372,334000,-2.64536,2000,-0.533574,66000,-0.0160003,372.263,88.94479788199942,-0.0134655,32,-1.77406,0.00281671,74.56682721600009,3.14706,176.446,1839.05,1.91228,476.585,-0.00307301,3.35381,1138.48,-1141.58,4.415680408477783,367.891,44.156803131103516,1130.55,-39.3265,938.378979369,10.372679177999544,1.03849,-21.175,1845.09,969.698765982,0.131929,0.0806369,216.428,0.00370713,-7.87559,0.0841195,1.35226,12.6786
3.9850791769999887,3058.7602969230034,0.214894,1.98018,344000,-3.68917,2060,-0.527205,68000,-0.0449385,565.279,88.04722751900226,-0.0141473,33,-1.72231,0.00312305,73.65696967400027,3.6579,275.456,2319.9,2.39372,640.079,-0.00431301,2.98205,1582.17,-1579.77,6.789669990539551,558.456,67.89669799804688,1564.33,-297.431,903.4500018,10.405178668002009,1.16951,-299.004,2313.51,937.241663342,0.0949144,0.150663,304.676,0.00257098,-7.63067,0.0299285,1.63018,19.459
4.040659325999968,3146.4463949840024,0.224789,2.3155,354000,-3.40259,2120,-0.526505,70000,-0.162012,407.689,87.76587909499995,-0.013937,34,-1.76561,0.00326421,73.212628279,3.38832,108.747,2203.65,2.22805,256.013,-0.00411511,2.96587,1599.67,-1601.85,7.750411510467529,397.798,77.50411224365234,1592.71,-273.179,1011.58862488,10.512591489999977,1.19899,-271.682,2216.03,948.281758287,0.170066,0.151731,316.427,0.00323745,-7.08496,0.0361877,1.49713,20.2821
3.9614640919999147,3234.1750628880045,0.272143,0.759292,364000,-2.8393,2180,-0.480375,72000,-0.0985864,311.351,87.66773998200188,-0.013966,35,-1.85768,0.00326824,73.50124375299993,3.10357,78.6095,1536.36,1.88076,238.703,-0.0037923,2.95445,1090.43,-1091.49,7.797985076904297,304.568,77.97985076904297,1079.2,-65.4411,999.690600824,10.205032137002036,1.02481,-81.0152,1528.05,984.424208409,0.168453,0.0715135,379.187,0.00351212,-8.50812,0.0490159,1.64448,12.3901
